Date,Articles
2007-02-15,"{""abstract"": "" Berkshire Hathaway, the investment vehicle of famed value investor Warren E. Buffett, has revealed its end-of-2006 stock positions, including its $843 million stake in Minneapolis-based U.S. Bancorp. From January through September of last year, Berkshire built up its U.S. Bancorp holdings by 23.3 million shares, representing a 1.3 percent stake in the bank, the nation\u2019s sixth-largest by assets. Because so many investors watch Mr. Buffett\u2019s portfolio, regulators sometimes allow his firm to delay disclosures of its trades in an effort to forestall market mimicry. "", ""web_url"": ""https://dealbook.nytimes.com/2007/02/15/what-warren-buffett-is-buying/"", ""snippet"": """", ""lead_paragraph"": "" Berkshire Hathaway, the investment vehicle of famed value investor Warren E. Buffett, has revealed its end-of-2006 stock positions, including its $843 million stake in Minneapolis-based U.S. Bancorp. From January through September of last year, Berkshire built up its U.S. Bancorp holdings by 23.3 million shares, representing a 1.3 percent stake in the bank, the nation\u2019s sixth-largest by assets. Because so many investors watch Mr. Buffett\u2019s portfolio, regulators sometimes allow his firm to delay disclosures of its trades in an effort to forestall market mimicry. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""What Warren Buffett Is Buying"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-15T18:57:21+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/1eeef93a-1543-5b33-b4ad-8e1675f2afef"", ""word_count"": 226, ""uri"": ""nyt://article/1eeef93a-1543-5b33-b4ad-8e1675f2afef""}"
2007-03-02,"[{""abstract"": ""Concerned that his hand-picked successor as investment officer is now too old, Warren E. Buffett is looking for a new candidate."", ""web_url"": ""https://www.nytimes.com/2007/03/02/business/02buffett.html"", ""snippet"": ""Concerned that his hand-picked successor as investment officer is now too old, Warren E. Buffett is looking for a new candidate."", ""lead_paragraph"": ""Wanted: a promising junior executive to take over the investment portfolio of one of the world\u2019s most successful investors."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/03/02/business/02buffett.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/03/02/business/02buffett.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Buffett Seeks New (and Younger) Candidate for Top Investing Position"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Buffett Seeks New (and Younger) Candidate for Top Investing Position"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""persons"", ""value"": ""Buffett, Warren E"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Berkshire Hathaway Incorporated"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-03-02T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Jeremy W. Peters"", ""person"": [{""firstname"": ""Jeremy"", ""middlename"": ""W."", ""lastname"": ""Peters"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/17d58469-a893-5ba3-be5f-5012edb7d9a3"", ""word_count"": 574, ""uri"": ""nyt://article/17d58469-a893-5ba3-be5f-5012edb7d9a3""}, {""abstract"": "" Here are a few of things that Warren E. Buffet, the chairman of Berkshire Hathaway, has on his to-do list:"", ""web_url"": ""https://dealbook.nytimes.com/2007/03/02/warren-buffetts-wish-list/"", ""snippet"": """", ""lead_paragraph"": "" Here are a few of things that Warren E. Buffet, the chairman of Berkshire Hathaway, has on his to-do list:"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Warren Buffett\u2019s Wish List"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-02T13:45:38+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e825a035-f309-5b5d-bf6c-69f4fd74be5b"", ""word_count"": 604, ""uri"": ""nyt://article/e825a035-f309-5b5d-bf6c-69f4fd74be5b""}]"
2007-03-15,"{""abstract"": ""The chief executive at Berkshire Hathaway took home the same $100,000 in 2006 that he has been earning for 25 years. "", ""web_url"": ""https://www.nytimes.com/2007/03/15/business/businessspecial/16buffett.pay.html"", ""snippet"": ""The chief executive at Berkshire Hathaway took home the same $100,000 in 2006 that he has been earning for 25 years. "", ""lead_paragraph"": ""While many companies are starting tie the pay of chief executives to stock performance, don\u2019t expect Berkshire Hathaway to jump on the bandwagon anytime soon. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""No Raise, but No Tears, for Warren Buffett"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Berkshire Hathaway Incorporated"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Buffett, Warren E"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wages and Salaries"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-03-15T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Business"", ""byline"": {""original"": ""By Jeremy W. Peters"", ""person"": [{""firstname"": ""Jeremy"", ""middlename"": ""W."", ""lastname"": ""Peters"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/9a2c94be-0307-564c-a834-8166e70263d0"", ""word_count"": 178, ""uri"": ""nyt://article/9a2c94be-0307-564c-a834-8166e70263d0""}"
2007-03-16,"{""abstract"": ""While many companies are starting tie the pay of chief executives to stock performance, don\u2019t expect Berkshire Hathaway to jump on the bandwagon anytime soon. For Warren Buffett, Berkshire\u2019s chief executive, such an arrangement would be a gold mine. His company\u2019s stock is valued at more than $106,000 a share. And last year, it rose 24 percent in value. But in a regulatory filing Thursday, the company said that \u201cneither the profitability of Berkshire Hathaway nor the market value of its stock are to be considered in the compensation of any executive officer.\u201d"", ""web_url"": ""https://dealbook.nytimes.com/2007/03/16/no-raise-but-no-tears-for-warren-buffett/"", ""snippet"": """", ""lead_paragraph"": ""While many companies are starting tie the pay of chief executives to stock performance, don\u2019t expect Berkshire Hathaway to jump on the bandwagon anytime soon. For Warren Buffett, Berkshire\u2019s chief executive, such an arrangement would be a gold mine. His company\u2019s stock is valued at more than $106,000 a share. And last year, it rose 24 percent in value. But in a regulatory filing Thursday, the company said that \u201cneither the profitability of Berkshire Hathaway nor the market value of its stock are to be considered in the compensation of any executive officer.\u201d"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""No Raise, but No Tears, for Warren Buffett"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-16T11:27:21+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/a36ff259-74ba-5f5e-a912-1e0d4599192f"", ""word_count"": 181, ""uri"": ""nyt://article/a36ff259-74ba-5f5e-a912-1e0d4599192f""}"
2007-03-22,"{""abstract"": ""Warren E. Buffett\u2019s Berkshire Hathaway won approval from European regulators Thursday to buy U.S. company TTI, which distributes electronic components that other companies use to make a range of products. The European Commission cleared the deal automatically after identifying no antitrust problem and receiving no complaints from rivals within a deadline of 25 working days."", ""web_url"": ""https://dealbook.nytimes.com/2007/03/22/eu-clears-berkshire-deal-for-tti/"", ""snippet"": """", ""lead_paragraph"": ""Warren E. Buffett\u2019s Berkshire Hathaway won approval from European regulators Thursday to buy U.S. company TTI, which distributes electronic components that other companies use to make a range of products. The European Commission cleared the deal automatically after identifying no antitrust problem and receiving no complaints from rivals within a deadline of 25 working days."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""EU Clears Berkshire Deal for TTI"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-22T11:49:06+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/eeffe47f-f4e3-5d4b-8994-7c91a7d8e4a7"", ""word_count"": 100, ""uri"": ""nyt://article/eeffe47f-f4e3-5d4b-8994-7c91a7d8e4a7""}"
2007-03-23,"{""abstract"": "" Blackstone Group, confirming a firestorm of speculation, said Thursday it would seek an initial public offering that would value the firm at as much as $40 billion. The preliminary prospectus offered a first glimpse inside Blackstone\u2019s closely guarded money machine, which churned out $2.3 billion in profit in 2006. The offering is being structured to allow Blackstone to retain many advantages of a private business \u2014 a setup that Breakingviews compares with Berkshire Hathaway under Warren Buffett."", ""web_url"": ""https://dealbook.nytimes.com/2007/03/23/a-look-inside-blackstones-money-machine/"", ""snippet"": """", ""lead_paragraph"": "" Blackstone Group, confirming a firestorm of speculation, said Thursday it would seek an initial public offering that would value the firm at as much as $40 billion. The preliminary prospectus offered a first glimpse inside Blackstone\u2019s closely guarded money machine, which churned out $2.3 billion in profit in 2006. The offering is being structured to allow Blackstone to retain many advantages of a private business \u2014 a setup that Breakingviews compares with Berkshire Hathaway under Warren Buffett."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""A Look Inside Blackstone\u2019s Money Machine"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-23T13:02:08+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/f1a51a27-918c-5810-aa61-77a57689d6e7"", ""word_count"": 466, ""uri"": ""nyt://article/f1a51a27-918c-5810-aa61-77a57689d6e7""}"
2007-04-09,"{""abstract"": ""Berkshire Hathaway, the company controlled by Warren E. Buffett, says it has acquired a 10.9 percent stake in Burlington Northern Santa Fe, becoming the railroad company\u2019s largest shareholder. Berkshire owned 39,027,430 shares of Burlington Northern with a market value of $3.23 billion as of April 5, according to a filing Friday with the Securities and Exchange Commission. Before Friday, Berkshire had not disclosed a stake in the railroad, America\u2019s second-largest behind Union Pacific."", ""web_url"": ""https://dealbook.nytimes.com/2007/04/09/berkshire-hathaway-takes-stake-in-railroad-company/"", ""snippet"": """", ""lead_paragraph"": ""Berkshire Hathaway, the company controlled by Warren E. Buffett, says it has acquired a 10.9 percent stake in Burlington Northern Santa Fe, becoming the railroad company\u2019s largest shareholder. Berkshire owned 39,027,430 shares of Burlington Northern with a market value of $3.23 billion as of April 5, according to a filing Friday with the Securities and Exchange Commission. Before Friday, Berkshire had not disclosed a stake in the railroad, America\u2019s second-largest behind Union Pacific."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Berkshire Hathaway Takes Stake in Railroad Company"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-09T11:09:58+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/025cd146-c1be-58bc-bbb3-1dba7d00438d"", ""word_count"": 82, ""uri"": ""nyt://article/025cd146-c1be-58bc-bbb3-1dba7d00438d""}"
2007-04-23,"[{""abstract"": ""Warren E. Buffett\u2019s successor will probably be a lot like Louis Simpson, who has overseen the investment portfolio of Geico."", ""web_url"": ""https://www.nytimes.com/2007/04/23/business/23simpson.html"", ""snippet"": ""Warren E. Buffett\u2019s successor will probably be a lot like Louis Simpson, who has overseen the investment portfolio of Geico."", ""lead_paragraph"": "" CHICAGO \u2014 Warren E. Buffett is hardly a man of mystery."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/04/23/business/22simpson.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/04/23/business/22simpson.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""A Maestro of Investments in the Style of Buffett"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""A Maestro of Investments in the Style of Buffett"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""persons"", ""value"": ""Buffett, Warren E"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Geico Corp"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Berkshire Hathaway Incorporated"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Simpson, Louis"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-04-23T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Geraldine Fabrikant"", ""person"": [{""firstname"": ""Geraldine"", ""middlename"": null, ""lastname"": ""Fabrikant"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/beb5ec08-be03-50aa-b81a-851d3667a016"", ""word_count"": 1439, ""uri"": ""nyt://article/beb5ec08-be03-50aa-b81a-851d3667a016""}, {""abstract"": ""When investors gather in Omaha, Neb., in two weeks for the Berkshire Hathaway annual meeting, the chairman, Warren E. Buffett, will face what has become the annual question: who might someday succeed him in each of the two roles he plays \u2013 chief executive and chief investment officer?"", ""web_url"": ""https://dealbook.nytimes.com/2007/04/23/a-maestro-of-investments-in-the-style-of-buffett/"", ""snippet"": """", ""lead_paragraph"": ""When investors gather in Omaha, Neb., in two weeks for the Berkshire Hathaway annual meeting, the chairman, Warren E. Buffett, will face what has become the annual question: who might someday succeed him in each of the two roles he plays \u2013 chief executive and chief investment officer?"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""A Maestro of Investments in the Style of Buffett"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-23T11:36:17+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/2aa7bc97-972b-5f18-87b1-f485930c619a"", ""word_count"": 281, ""uri"": ""nyt://article/2aa7bc97-972b-5f18-87b1-f485930c619a""}]"
2007-05-08,"{""abstract"": ""After Warren Buffett said would \u201clove\u201d to find a $40 billion acquisition, BusinessWeek has put together its list of possible targets for the Berkshire Hathaway chieftain."", ""web_url"": ""https://dealbook.nytimes.com/2007/05/08/a-deal-to-do-list-for-warren-buffett/"", ""snippet"": """", ""lead_paragraph"": ""After Warren Buffett said would \u201clove\u201d to find a $40 billion acquisition, BusinessWeek has put together its list of possible targets for the Berkshire Hathaway chieftain."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""A Deal To-Do List for Warren Buffett"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-05-08T11:14:24+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/859f0508-dce3-5f02-8332-fb53402cf1ea"", ""word_count"": 178, ""uri"": ""nyt://article/859f0508-dce3-5f02-8332-fb53402cf1ea""}"
2007-05-16,"{""abstract"": ""Warren Buffett\u2019s Berkshire Hathaway on Tuesday revealed stakes in Norfolk Southern and Union Pacific. \u2014 five weeks after the billionaire said he had invested in three railroad companies but would not disclose the names of two."", ""web_url"": ""https://dealbook.nytimes.com/2007/05/16/buffett-discloses-more-railroad-stakes/"", ""snippet"": """", ""lead_paragraph"": ""Warren Buffett\u2019s Berkshire Hathaway on Tuesday revealed stakes in Norfolk Southern and Union Pacific. \u2014 five weeks after the billionaire said he had invested in three railroad companies but would not disclose the names of two."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Buffett Discloses More Railroad Stakes"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-05-16T11:58:54+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/74b2e9a9-5a72-5327-a638-fce5d83107b0"", ""word_count"": 130, ""uri"": ""nyt://article/74b2e9a9-5a72-5327-a638-fce5d83107b0""}"
