Date,Articles
2007-01-16,"{""abstract"": ""Zhang Yin, who may be the richest self-made woman in the world, built her fortune on recycled cardboard."", ""web_url"": ""https://www.nytimes.com/2007/01/16/business/16trash.html"", ""snippet"": ""Zhang Yin, who may be the richest self-made woman in the world, built her fortune on recycled cardboard."", ""lead_paragraph"": ""HONG KONG \u2014 Just five years ago, Zhang Yin and her husband were driving around the United States in a used Dodge minivan begging garbage dumps to give them their scrap paper. "", ""print_section"": ""C"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/16/business/16trash.xlarge1.jpg"", ""height"": 320, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/16/business/16trash.xlarge1.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 320}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/16/business/16trash.751.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/16/business/16trash.751.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Blazing a Paper Trail in China"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Blazing A Paper Trail In China"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-16T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By David Barboza"", ""person"": [{""firstname"": ""David"", ""middlename"": null, ""lastname"": ""Barboza"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/baf74765-4843-5117-bb34-742302205898"", ""word_count"": 1525, ""uri"": ""nyt://article/baf74765-4843-5117-bb34-742302205898""}"
2007-01-22,"{""abstract"": ""The sale would be the second-largest domestic initial public offering by a mainland Chinese bank."", ""web_url"": ""https://www.nytimes.com/2007/01/22/business/worldbusiness/22china.html"", ""snippet"": ""The sale would be the second-largest domestic initial public offering by a mainland Chinese bank."", ""lead_paragraph"": "" Industrial Bank of China, partly owned by a unit of HSBC Holdings, may raise up to 21.25 billion yuan ($2.74 billion) from a Shanghai share sale, making it the second-largest domestic initial public offering by a mainland Chinese bank."", ""print_section"": ""C"", ""print_page"": ""8"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Industrial Bank of China Plans Sizable Share Sale in Shanghai"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Industrial Bank of China Plans Sizable Share Sale in Shanghai"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Industrial and Commercial Bank of China"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""International Trade and World Market"", ""rank"": 3, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Shanghai (China)"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-01-22T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/aaedb4b0-d7e7-5c0f-9a4c-c7bc1d20258d"", ""word_count"": 206, ""uri"": ""nyt://article/aaedb4b0-d7e7-5c0f-9a4c-c7bc1d20258d""}"
2007-02-28,"[{""abstract"": ""Stocks plunged in New York after a sell-off in China rattled markets worldwide. "", ""web_url"": ""https://www.nytimes.com/2007/02/28/business/28stox.web.html"", ""snippet"": ""Stocks plunged in New York after a sell-off in China rattled markets worldwide. "", ""lead_paragraph"": ""Stocks in the United States plummeted today after a surprising plunge in the Shanghai market provoked worries worldwide about the global economy and the valuation of share prices. "", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/27/business/0228-biz-webDOWrf.gif"", ""height"": 78, ""width"": 78, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/27/business/0228-biz-webDOWrf.gif"", ""thumbnailwidth"": 78, ""thumbnailheight"": 78}}], ""headline"": {""main"": ""Dow Average Falls 416 Points After China Sell-Off"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 1, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Shanghai (China)"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-02-28T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Jeremy W. Peters and David Barboza"", ""person"": [{""firstname"": ""Jeremy"", ""middlename"": ""W."", ""lastname"": ""Peters"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""David"", ""middlename"": null, ""lastname"": ""Barboza"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/0e13400b-b1d0-5f3a-9383-3cdb9ba66298"", ""word_count"": 835, ""uri"": ""nyt://article/0e13400b-b1d0-5f3a-9383-3cdb9ba66298""}, {""abstract"": ""Stock markets around the world plummeted Tuesday in a wave of selling set off by a plunge in China. "", ""web_url"": ""https://www.nytimes.com/2007/02/28/business/28stox.html"", ""snippet"": ""Stock markets around the world plummeted Tuesday in a wave of selling set off by a plunge in China. "", ""lead_paragraph"": ""Stock markets around the world plummeted yesterday in a wave of selling set off by a plunge in China that was reinforced by worries of weakening economies. The falling prices continued in early Asian trading today, but by midday the Chinese market seemed to be stabilizing."", ""print_section"": ""A"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wall St. Tumble Adds to Worries About Economies"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""WALL ST. TUMBLE ADDS TO WORRIES ABOUT ECONOMIES"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Nasdaq Composite Index"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Dow Jones Stock Average"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Recession and Depression"", ""rank"": 5, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-02-28T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Floyd Norris and Jeremy W. Peters"", ""person"": [{""firstname"": ""Floyd"", ""middlename"": null, ""lastname"": ""Norris"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Jeremy"", ""middlename"": ""W."", ""lastname"": ""Peters"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/398bd47b-4017-52d0-97e4-4e0c96803573"", ""word_count"": 1076, ""uri"": ""nyt://article/398bd47b-4017-52d0-97e4-4e0c96803573""}]"
2007-03-27,"{""abstract"": ""Intel has only seven other similar wafer fabrication facilities in the world, mostly in the western United States."", ""web_url"": ""https://www.nytimes.com/2007/03/27/business/27intel.html"", ""snippet"": ""Intel has only seven other similar wafer fabrication facilities in the world, mostly in the western United States."", ""lead_paragraph"": "" SHANGHAI, March 26 \u2014 The Intel Corporation has already labeled it \u201cFab 68,\u201d the $2.5 billion chip-manufacturing facility that is set to become the company\u2019s first major production site in Asia."", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/03/26/business/intel600.jpg"", ""height"": 250, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/03/26/business/intel600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 250}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/03/26/business/intel75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/03/26/business/intel75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Intel to Build Advanced Chip-Making Plant in China"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""</hl1> <hl2 class="", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Intel Corp"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Computer Chips"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-03-27T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By David Barboza"", ""person"": [{""firstname"": ""David"", ""middlename"": null, ""lastname"": ""Barboza"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/9937ab28-3a8f-5c8b-b4e6-c1855d6a3ef1"", ""word_count"": 554, ""uri"": ""nyt://article/9937ab28-3a8f-5c8b-b4e6-c1855d6a3ef1""}"
2007-04-05,"{""abstract"": ""The new trade link between Brazil and China marks a profound shift in world agricultural trade."", ""web_url"": ""https://www.nytimes.com/slideshow/2007/04/05/business/worldbusiness/20070406_SOY_SLIDESHOW_index.html"", ""snippet"": ""The new trade link between Brazil and China marks a profound shift in world agricultural trade."", ""lead_paragraph"": ""The new trade link between Brazil and China marks a profound shift in world agricultural trade."", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/04/05/business/worldbusiness/soy75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/04/05/business/worldbusiness/soy75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""A New Trade Route for China"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-05T16:52:00+0000"", ""document_type"": ""multimedia"", ""news_desk"": ""Business Day"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": """", ""person"": [], ""organization"": null}, ""type_of_material"": ""Slideshow"", ""_id"": ""nyt://slideshow/6be1a58c-55ff-57d7-bf8b-3a8c7f4a91d2"", ""word_count"": 0, ""uri"": ""nyt://slideshow/6be1a58c-55ff-57d7-bf8b-3a8c7f4a91d2""}"
2007-05-21,"{""abstract"": ""It is China\u2019s first effort to diversify its $1.2 trillion in foreign-exchange reserves beyond U.S. Treasury bills."", ""web_url"": ""https://www.nytimes.com/2007/05/21/business/worldbusiness/21yuan.html"", ""snippet"": ""It is China\u2019s first effort to diversify its $1.2 trillion in foreign-exchange reserves beyond U.S. Treasury bills."", ""lead_paragraph"": ""The Chinese government said yesterday that it would acquire a $3 billion stake in the Blackstone Group, the private equity firm, in the country\u2019s first effort to diversify its $1.2 trillion in foreign-exchange reserves beyond United States Treasury bills and into commercial enterprise."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/05/21/business/21yuan.75.1.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/05/21/business/21yuan.75.1.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""China to Buy a Stake in Blackstone"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""In Strategy Shift, China to Buy a Stake in Blackstone"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Mergers, Acquisitions and Divestitures"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Blackstone Group"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Currency"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 4, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-05-21T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Andrew Ross Sorkin and David Barboza"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": ""Ross"", ""lastname"": ""Sorkin"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""David"", ""middlename"": null, ""lastname"": ""Barboza"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e8e62219-1fad-5dc1-be61-4a7461670a6a"", ""word_count"": 666, ""uri"": ""nyt://article/e8e62219-1fad-5dc1-be61-4a7461670a6a""}"
2007-05-23,"{""abstract"": ""Familiar disagreements erupted over trade, currency issues and at least one new concern, the safety of Chinese food exports."", ""web_url"": ""https://www.nytimes.com/2007/05/23/business/worldbusiness/23trade.html"", ""snippet"": ""Familiar disagreements erupted over trade, currency issues and at least one new concern, the safety of Chinese food exports."", ""lead_paragraph"": ""WASHINGTON, May 22 \u2014 Teams of cabinet members from China and the United States held a day of talks Tuesday to reduce economic tensions but ran into familiar disagreements over trade, currency issues and at least one new concern, the safety of Chinese food exports."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/05/23/business/23trade.600.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/05/23/business/23trade.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/05/23/business/23trade.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/05/23/business/23trade.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Food Safety Joins Issues at U.S.-China Talks"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Food Safety Joins Issues at U.S.-China Talks"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""International Trade and World Market"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Customs (Tariff)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States International Relations"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Food Contamination and Poisoning"", ""rank"": 5, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-05-23T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Steven R. Weisman"", ""person"": [{""firstname"": ""Steven"", ""middlename"": ""R."", ""lastname"": ""Weisman"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/cc230030-2be6-5ace-8b6b-1cdf4551db06"", ""word_count"": 857, ""uri"": ""nyt://article/cc230030-2be6-5ace-8b6b-1cdf4551db06""}"
2007-05-24,"{""abstract"": ""American officials began talks with China to reduce economic tensions but ran into familiar disagreements and new concerns over food safety."", ""web_url"": ""https://www.nytimes.com/2007/05/24/business/23trade-web.html"", ""snippet"": ""American officials began talks with China to reduce economic tensions but ran into familiar disagreements and new concerns over food safety."", ""lead_paragraph"": "" By STEVEN R. WEISMAN"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""U.S.-China Trade Talks Open With Food Safety an Issue"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""persons"", ""value"": ""Wu Yi"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""International Trade and World Market"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""United States"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Paulson, Henry M Jr"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Politics and Government"", ""rank"": 5, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-05-24T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Steven R. Weisman"", ""person"": [{""firstname"": ""Steven"", ""middlename"": ""R."", ""lastname"": ""Weisman"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/066fd07a-19b6-565e-911d-0dd5e05726c9"", ""word_count"": 492, ""uri"": ""nyt://article/066fd07a-19b6-565e-911d-0dd5e05726c9""}"
2007-05-25,"{""abstract"": ""Chinese leaders appeared to make little headway in quelling Congressional anger over China\u2019s economic practices."", ""web_url"": ""https://www.nytimes.com/2007/05/25/business/worldbusiness/25trade.html"", ""snippet"": ""Chinese leaders appeared to make little headway in quelling Congressional anger over China\u2019s economic practices."", ""lead_paragraph"": ""WASHINGTON, May 24 \u2014 Chinese leaders traveled from the White House to Capitol Hill on Thursday, trying to persuade skeptics of the benefits of the Chinese-American relationship. But they appeared to make little headway in quelling Congressional anger over China\u2019s economic practices."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/05/25/business/25trade.600.2.jpg"", ""height"": 280, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/05/25/business/25trade.600.2.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 280}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/05/25/business/25trade.75.2.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/05/25/business/25trade.75.2.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Chinese Officials Extol Benefits of U.S. Relations"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Chinese Officials Extol Benefits of U.S. Relations"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""International Trade and World Market"", ""rank"": 1, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""United States"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Paulson, Henry M Jr"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Politics and Government"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 5, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Hu Jintao"", ""rank"": 6, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 7, ""major"": ""N""}], ""pub_date"": ""2007-05-25T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Steven R. Weisman"", ""person"": [{""firstname"": ""Steven"", ""middlename"": ""R."", ""lastname"": ""Weisman"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/04ae9b88-bea4-5fa1-b79c-3395a4e7cfca"", ""word_count"": 854, ""uri"": ""nyt://article/04ae9b88-bea4-5fa1-b79c-3395a4e7cfca""}"
2007-06-09,"{""abstract"": ""A dispute between Groupe Danone, the French dairy and beverage maker, and its Chinese partner, the beverage maker Wahaha, has become even stranger."", ""web_url"": ""https://www.nytimes.com/2007/06/09/business/worldbusiness/09danone.html"", ""snippet"": ""A dispute between Groupe Danone, the French dairy and beverage maker, and its Chinese partner, the beverage maker Wahaha, has become even stranger."", ""lead_paragraph"": ""SHANGHAI, June 8 \u2014 A dispute between Groupe Danone, the French dairy and beverage maker, and its Chinese partner, the beverage maker Wahaha, became even stranger on Friday when Wahaha released several letters written by employees that denounced Danone for being run by \u201crascals\u201d who were committing \u201cevil deeds.\u201d"", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/06/09/business/09danone.600.jpg"", ""height"": 280, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/06/09/business/09danone.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 280}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/06/09/business/09danone.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/06/09/business/09danone.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Rancor Level Rises in Rift Over Danone China Venture"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Rancor Level Rises in Rift Over Danone China Venture"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Groupe Danone"", ""rank"": 1, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""France"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 4, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Shanghai (China)"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-06-09T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By David Barboza"", ""person"": [{""firstname"": ""David"", ""middlename"": null, ""lastname"": ""Barboza"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d1406076-c6a3-595e-8f27-a7fd4319a8a8"", ""word_count"": 655, ""uri"": ""nyt://article/d1406076-c6a3-595e-8f27-a7fd4319a8a8""}"
