Date,Articles
2007-01-01,"{""abstract"": ""Disney executives say the new site is more intuitive than its clumsy predecessor and features video and interactive features."", ""web_url"": ""https://www.nytimes.com/2007/01/01/technology/01disney.html"", ""snippet"": ""Disney executives say the new site is more intuitive than its clumsy predecessor and features video and interactive features."", ""lead_paragraph"": ""LOS ANGELES, Dec. 31 \u2014 When the Walt Disney Company\u2019s chief executive, Robert A. Iger, takes the stage at the Consumer Electronics Show in Las Vegas on Jan. 8, he is expected to introduce the new Disney.com Web site that has taken more than a year to redesign."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/01/business/01disney.1_600x347.jpg"", ""height"": 347, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/01/business/01disney.1_600x347.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 347}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/01/business/01disney.1_75x75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/01/business/01disney.1_75x75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Disney Plans to Introduce a Sleek Makeover of Disney.com Site"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Disney Plans to Introduce a Sleek Makeover of Disney.com Site"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Disney, Walt, Co"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ANIMATED FILMS"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""MOTION PICTURES"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Computer and Video Games"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""AMUSEMENT AND THEME PARKS"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Computers and the Internet"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-01-01T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Laura M. Holson"", ""person"": [{""firstname"": ""Laura"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/13feaf0b-baaf-50cc-9f06-3b8ae0e6dee7"", ""word_count"": 1084, ""uri"": ""nyt://article/13feaf0b-baaf-50cc-9f06-3b8ae0e6dee7""}"
2007-01-03,"{""abstract"": "" Law firm Weil Gotshal & Manges said Wednesday that it hired Michael J. Aiello as a partner in the mergers and acquisitions group of its corporate department. Mr. Aiello was previously a partner at Dewey Ballantine, where he was part of the legal team that advised Walt Disney as it fought off Comcast\u2018s unsolicited bid in 2004. "", ""web_url"": ""https://dealbook.nytimes.com/2007/01/03/revolving-door-weil-gotshal/"", ""snippet"": """", ""lead_paragraph"": "" Law firm Weil Gotshal & Manges said Wednesday that it hired Michael J. Aiello as a partner in the mergers and acquisitions group of its corporate department. Mr. Aiello was previously a partner at Dewey Ballantine, where he was part of the legal team that advised Walt Disney as it fought off Comcast\u2018s unsolicited bid in 2004. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Revolving Door: Weil Gotshal"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-03T20:02:29+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/ce988335-7cc5-5e3e-b72c-a24ce3d2c79c"", ""word_count"": 98, ""uri"": ""nyt://article/ce988335-7cc5-5e3e-b72c-a24ce3d2c79c""}"
2007-01-09,"{""abstract"": "" Caremark Rx seems to be girding for a serious fight. The pharmacy benefits manager, which recently rejected a $26 billion takeover bid from its rival Express Scripts in favor of a deal with the drugstore chain CVS, has hired Wachtell, Lipton, Rosen & Katz as a legal adviser. Wachtell Lipton is well-versed in the art of the takeover feud, having advised Walt Disney as it sought to fend off Comcast\u2018s hostile bid (which was withdrawn) and drug giant Sanofi in its hostile offer for Aventis (which succeeded). "", ""web_url"": ""https://dealbook.nytimes.com/2007/01/09/as-battle-looms-cvs-and-caremark-add-advisers/"", ""snippet"": """", ""lead_paragraph"": "" Caremark Rx seems to be girding for a serious fight. The pharmacy benefits manager, which recently rejected a $26 billion takeover bid from its rival Express Scripts in favor of a deal with the drugstore chain CVS, has hired Wachtell, Lipton, Rosen & Katz as a legal adviser. Wachtell Lipton is well-versed in the art of the takeover feud, having advised Walt Disney as it sought to fend off Comcast\u2018s hostile bid (which was withdrawn) and drug giant Sanofi in its hostile offer for Aventis (which succeeded). "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""As Battle Looms, CVS and Caremark Add Advisers"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-09T16:05:17+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/056019e6-693d-58b1-8d7b-594ff2503ae0"", ""word_count"": 268, ""uri"": ""nyt://article/056019e6-693d-58b1-8d7b-594ff2503ae0""}"
2007-01-23,"{""abstract"": ""A source told Reuters in no uncertain terms that Walt Disney is not interested in buying Telefonica\u2018s 75 percent stake in the TV producer Endemol. The cryptically worded message: \u201cWe are not interested in it,\u201d the source said. Disney was touted on Monday as possibly being interested with Endemol co-founder John de Mol in forming an alliance to repurchase the Dutch production house."", ""web_url"": ""https://dealbook.nytimes.com/2007/01/23/endemol-leaves-disney-cold-report-says/"", ""snippet"": """", ""lead_paragraph"": ""A source told Reuters in no uncertain terms that Walt Disney is not interested in buying Telefonica\u2018s 75 percent stake in the TV producer Endemol. The cryptically worded message: \u201cWe are not interested in it,\u201d the source said. Disney was touted on Monday as possibly being interested with Endemol co-founder John de Mol in forming an alliance to repurchase the Dutch production house."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Endemol Leaves Disney Cold, Report Says"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-23T12:13:50+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/cbb3f7da-dd9a-5d0f-8ba6-bbcf8c9122a2"", ""word_count"": 67, ""uri"": ""nyt://article/cbb3f7da-dd9a-5d0f-8ba6-bbcf8c9122a2""}"
2007-01-24,"{""abstract"": ""Michael Eisner and Jann Wenner, who once joined forces to save a celebrity magazine, are about to reunite in the world of Internet video. Wenner Media and Veoh Networks announced a partnership Monday between Usmagazine.com, the Web site for Wenner\u2019s Us Weekly, and Veoh.com, a video-sharing Web site and a competitor of YouTube.com, to create a celebrity entertainment channel on Veoh. Mr. Wenner leads the privately owned Wenner Media, while Mr. Eisner, the former chief executive of Walt Disney, is a major investor in Veoh and brokered the deal."", ""web_url"": ""https://dealbook.nytimes.com/2007/01/24/eisner-and-wenner-team-up-for-celebrity-tv/"", ""snippet"": """", ""lead_paragraph"": ""Michael Eisner and Jann Wenner, who once joined forces to save a celebrity magazine, are about to reunite in the world of Internet video. Wenner Media and Veoh Networks announced a partnership Monday between Usmagazine.com, the Web site for Wenner\u2019s Us Weekly, and Veoh.com, a video-sharing Web site and a competitor of YouTube.com, to create a celebrity entertainment channel on Veoh. Mr. Wenner leads the privately owned Wenner Media, while Mr. Eisner, the former chief executive of Walt Disney, is a major investor in Veoh and brokered the deal."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Eisner and Wenner Team up for Celebrity TV"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-24T12:16:31+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/0668c78e-d476-53bc-bc24-f1da032db6a1"", ""word_count"": 97, ""uri"": ""nyt://article/0668c78e-d476-53bc-bc24-f1da032db6a1""}"
2007-01-26,"{""abstract"": ""Former Walt Disney Chairman and Chief Executive Michael Eisner has been exercising his deal-making skills since leaving the Mouse House more than a year ago. Through his investment vehicle Tornante, which is backed by the $1 billion he pocketed during his tenure at Disney, Mr. Eisner has been trying his hand at new media. He bought Team Baby Entertainment, which makes sport-themed DVDs for children, and, most recently, purchased in a a stake in YouTube challenger Veoh Networks. "", ""web_url"": ""https://dealbook.nytimes.com/2007/01/26/the-new-media-world-according-to-eisner/"", ""snippet"": """", ""lead_paragraph"": ""Former Walt Disney Chairman and Chief Executive Michael Eisner has been exercising his deal-making skills since leaving the Mouse House more than a year ago. Through his investment vehicle Tornante, which is backed by the $1 billion he pocketed during his tenure at Disney, Mr. Eisner has been trying his hand at new media. He bought Team Baby Entertainment, which makes sport-themed DVDs for children, and, most recently, purchased in a a stake in YouTube challenger Veoh Networks. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""The New Media World, According to Eisner"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-26T12:26:16+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e3f8b8ac-e990-5f60-b590-797312f2f305"", ""word_count"": 155, ""uri"": ""nyt://article/e3f8b8ac-e990-5f60-b590-797312f2f305""}"
2007-01-29,"{""abstract"": ""Levi Strauss is becoming a leader in a new arena: lawsuits. The company, once the undisputed king of denim and now a case study in missed opportunities, has emerged as the most litigious in the apparel industry when it comes to trademark infringement lawsuits, firing off nearly 100 against its competitors since 2001. That\u2019s far more than General Motors, Walt Disney or Nike, according to an analysis by a research firm, Thomson West."", ""web_url"": ""https://dealbook.nytimes.com/2007/01/29/a-one-time-denim-king-turns-to-the-courtroom/"", ""snippet"": """", ""lead_paragraph"": ""Levi Strauss is becoming a leader in a new arena: lawsuits. The company, once the undisputed king of denim and now a case study in missed opportunities, has emerged as the most litigious in the apparel industry when it comes to trademark infringement lawsuits, firing off nearly 100 against its competitors since 2001. That\u2019s far more than General Motors, Walt Disney or Nike, according to an analysis by a research firm, Thomson West."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""A One-Time Denim King Turns to the Courtroom"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-29T12:49:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d2c7dccd-ccf9-5e06-be46-59f0913f610c"", ""word_count"": 220, ""uri"": ""nyt://article/d2c7dccd-ccf9-5e06-be46-59f0913f610c""}"
2007-02-02,"{""abstract"": ""A week after ousting its chief executive, Gap removed his top deputy and former Disney colleague, Cynthia Harriss, as president of the Gap brand."", ""web_url"": ""https://www.nytimes.com/2007/02/02/business/02gap.html"", ""snippet"": ""A week after ousting its chief executive, Gap removed his top deputy and former Disney colleague, Cynthia Harriss, as president of the Gap brand."", ""lead_paragraph"": ""The Disney team is out at Gap. "", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/02/business/02gap.600.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/02/02/business/02gap.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/02/business/02gap.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/02/business/02gap.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Retailer\u2019s Shake-Up Continues as Executive in Charge of Gap Resigns"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Retailer\u2019s Shake-Up Continues as Executive in Charge of Gap Is Ousted"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Gap Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suspensions, Dismissals and Resignations"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Disney, Walt, Co"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Pressler, Paul S"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-02-02T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Michael Barbaro"", ""person"": [{""firstname"": ""Michael"", ""middlename"": null, ""lastname"": ""Barbaro"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/b77a0d5f-45f3-521f-9f51-2d9fe1ae259a"", ""word_count"": 639, ""uri"": ""nyt://article/b77a0d5f-45f3-521f-9f51-2d9fe1ae259a""}"
2007-02-07,"{""abstract"": ""The Publicis Groupe, the advertising company, said fourth-quarter revenue rose 4.8 percent helped by growth in Europe and gains in North America. Revenue increased to 1.25 billion euros ($1.62 billion), Publicis said. Publicis had $500 million of net new business in the fourth quarter as it won business from Renault, Walt Disney and the Marriott Group, among others. Revenue in Europe was 530 million euros in the fourth quarter, a gain of 5.5 percent, excluding acquisitions and currency swings."", ""web_url"": ""https://www.nytimes.com/2007/02/07/business/worldbusiness/07fobriefs-REVENUERISES_BRF.html"", ""snippet"": ""The Publicis Groupe, the advertising company, said fourth-quarter revenue rose 4.8 percent helped by growth in Europe and gains in North America. Revenue increased to 1.25 billion euros ($1.62 billion), Publicis said. Publicis had $500 million of ..."", ""lead_paragraph"": ""The Publicis Groupe, the advertising company, said fourth-quarter revenue rose 4.8 percent helped by growth in Europe and gains in North America. Revenue increased to 1.25 billion euros ($1.62 billion), Publicis said. Publicis had $500 million of net new business in the fourth quarter as it won business from Renault, Walt Disney and the Marriott Group, among others. Revenue in Europe was 530 million euros in the fourth quarter, a gain of 5.5 percent, excluding acquisitions and currency swings."", ""print_section"": ""C"", ""print_page"": ""6"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""France: Revenue Rises at Ad Agency"", ""kicker"": ""World Business Briefing | Europe"", ""content_kicker"": null, ""print_headline"": ""France: Revenue Rises at Ad Agency"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Publicis Groupe SA"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-02-07T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""Brief"", ""_id"": ""nyt://article/0187eaa5-a77f-5c7e-9790-6262ae5c5e26"", ""word_count"": 82, ""uri"": ""nyt://article/0187eaa5-a77f-5c7e-9790-6262ae5c5e26""}"
2007-02-08,"[{""abstract"": ""First-quarter profit more than doubled on asset sales and income from last year\u2019s two biggest-selling DVD releases."", ""web_url"": ""https://www.nytimes.com/2007/02/08/business/media/08disney.html"", ""snippet"": ""First-quarter profit more than doubled on asset sales and income from last year\u2019s two biggest-selling DVD releases."", ""lead_paragraph"": ""The Walt Disney Company said yesterday that first-quarter profit more than doubled on asset sales and income from last year\u2019s two biggest-selling DVD releases: \u201cPirates of the Caribbean: Dead Man\u2019s Chest\u201d and \u201cCars.\u201d"", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Disney Profits Double on Strong DVD Sales of \u2018Cars\u2019 and \u2018Pirates\u2019"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Disney Profits Double on Strong DVD Sales of &#8216;Cars&#8217; and &#8216;Pirates&#8217;"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Disney, Walt, Co"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-02-08T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/1fd218f5-325d-5ab1-9dd3-092dcb5dcf3f"", ""word_count"": 406, ""uri"": ""nyt://article/1fd218f5-325d-5ab1-9dd3-092dcb5dcf3f""}, {""abstract"": ""The Disney Pix Max digital camera lets you superimpose Disney characters over the picture in your viewfinder in real time."", ""web_url"": ""https://www.nytimes.com/2007/02/08/technology/08camera.html"", ""snippet"": ""The Disney Pix Max digital camera lets you superimpose Disney characters over the picture in your viewfinder in real time."", ""lead_paragraph"": ""The Disney Pix Max from Digital Blue is designed for the child who is longing for a real digital camera. Its most fun feature is the ability to superimpose Disney characters over the picture in your viewfinder in real time. If you want to have Piglet smiling at your dog, you press a magic wand button and line up the picture so Piglet is posed right where you want him."", ""print_section"": ""C"", ""print_page"": ""10"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/07/technology/08camera.1.600.jpg"", ""height"": 314, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/02/07/technology/08camera.1.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 314}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/07/technology/08camera.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/07/technology/08camera.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""A Children\u2019s Camera That Lets Piglet Say \u2018Cheese\u2019"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""A Children\u2019s Camera That Lets Piglet Say \u2018Cheese\u2019"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Disney, Walt, Co"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Cameras"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-02-08T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Warren Buckleitner"", ""person"": [{""firstname"": ""Warren"", ""middlename"": null, ""lastname"": ""Buckleitner"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/71fd9450-407e-5e85-8f2e-1af466f290a8"", ""word_count"": 175, ""uri"": ""nyt://article/71fd9450-407e-5e85-8f2e-1af466f290a8""}, {""abstract"": ""The streaming video software developer Move Networks has emerged from stealth mode to announce its first institutional round of venture funding, an $11.3 million installment intended to spur the company to positive cash flow by year\u2019s end. Steamboat Ventures, Walt Disney\u2018s investment arm, and Hummer Winblad Venture Partners co-led the round. "", ""web_url"": ""https://dealbook.nytimes.com/2007/02/08/disney-backs-video-start-up/"", ""snippet"": """", ""lead_paragraph"": ""The streaming video software developer Move Networks has emerged from stealth mode to announce its first institutional round of venture funding, an $11.3 million installment intended to spur the company to positive cash flow by year\u2019s end. Steamboat Ventures, Walt Disney\u2018s investment arm, and Hummer Winblad Venture Partners co-led the round. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Disney Backs Video Start-Up"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-08T13:04:50+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By"", ""person"": [], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/2673c586-5aa1-5b56-b5cb-6b560bb5dc91"", ""word_count"": 99, ""uri"": ""nyt://article/2673c586-5aa1-5b56-b5cb-6b560bb5dc91""}]"
