Date,Articles
2007-02-12,"{""abstract"": ""NEW BRUNSWICK, N.J., Feb. 12 /PRNewswire-FirstCall/ \u2014 Johnson & Johnson today voluntarily disclosed to the U.S. Department of Justice (DOJ) and the U.S. Securities and Exchange Commission (SEC) that subsidiaries outside the United States are believed to have made improper payments in connection with the sale of medical devices in two small-market countries. The actions were contrary to the Company's policies, and the payments may fall within the jurisdiction of the Foreign Corrupt Practices Act. The Company will provide additional information to DOJ and SEC, and will cooperate with the agencies' reviews of these matters."", ""web_url"": ""https://www.nytimes.com/2007/02/12/business/12jandjstatement.ready.html"", ""snippet"": """", ""lead_paragraph"": ""NEW BRUNSWICK, N.J., Feb. 12 /PRNewswire-FirstCall/ \u2014 Johnson & Johnson today voluntarily disclosed to the U.S. Department of Justice (DOJ) and the U.S. Securities and Exchange Commission (SEC) that subsidiaries outside the United States are believed to have made improper payments in connection with the sale of medical devices in two small-market countries. The actions were contrary to the Company's policies, and the payments may fall within the jurisdiction of the Foreign Corrupt Practices Act. The Company will provide additional information to DOJ and SEC, and will cooperate with the agencies' reviews of these matters."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Johnson & Johnson Statement on Voluntary Disclosure\n"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-12T16:51:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": """", ""person"": [], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/83da9e1e-d338-5759-ba79-17201cdf6094"", ""word_count"": 206, ""uri"": ""nyt://article/83da9e1e-d338-5759-ba79-17201cdf6094""}"
2007-02-13,"[{""abstract"": ""Johnson & Johnson said  it believed that some of its foreign units had made improper payments related to the sale of medical devices in two small-market countries."", ""web_url"": ""https://www.nytimes.com/2007/02/13/business/13drug.html"", ""snippet"": ""Johnson & Johnson said  it believed that some of its foreign units had made improper payments related to the sale of medical devices in two small-market countries."", ""lead_paragraph"": ""Johnson & Johnson, the drug and consumer products company, said last night that some of its foreign units might have made improper payments related to the sale of medical devices in two \u201csmall-market countries.\u201d"", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""J.& J. Says Improper Payments Were Made"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""J.&#38; J. Reveals Improper Payments"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Johnson & Johnson Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Securities and Commodities Violations"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-02-13T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Katharine Q. Seelye"", ""person"": [{""firstname"": ""Katharine"", ""middlename"": ""Q."", ""lastname"": ""Seelye"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/ea656b12-0f7c-5d26-a568-9e190fee2ec8"", ""word_count"": 723, ""uri"": ""nyt://article/ea656b12-0f7c-5d26-a568-9e190fee2ec8""}, {""abstract"": ""Johnson & Johnson, the drug and consumer products company, said last night that some of its foreign units might have made improper payments related to the sale of medical devices in two \u201csmall-market countries.\u201d The company also said that the executive responsible for the units, Michael J. Dormer, 55, worldwide chairman of medical devices and diagnostics, had retired."", ""web_url"": ""https://dealbook.nytimes.com/2007/02/13/j-j-says-improper-payments-were-made/"", ""snippet"": """", ""lead_paragraph"": ""Johnson & Johnson, the drug and consumer products company, said last night that some of its foreign units might have made improper payments related to the sale of medical devices in two \u201csmall-market countries.\u201d The company also said that the executive responsible for the units, Michael J. Dormer, 55, worldwide chairman of medical devices and diagnostics, had retired."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""J.& J. Discloses Possibly Improper Payments"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-13T12:10:37+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/801441cf-b279-54f6-bfb2-c0d674814ec3"", ""word_count"": 97, ""uri"": ""nyt://article/801441cf-b279-54f6-bfb2-c0d674814ec3""}]"
2007-02-21,"{""abstract"": ""Admission will be free for a new documentary about coping with chronic illness, courtesy of the drug maker that produced the film."", ""web_url"": ""https://www.nytimes.com/2007/02/21/business/media/21adco.html"", ""snippet"": ""Admission will be free for a new documentary about coping with chronic illness, courtesy of the drug maker that produced the film."", ""lead_paragraph"": ""INNERSTATE,\u201d a documentary about three people coping with disabling chronic illness, may be coming to a theater near you. If so, admission will be free, courtesy of the drug maker that produced the film. "", ""print_section"": ""C"", ""print_page"": ""8"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/21/business/21adco600.1.jpg"", ""height"": 148, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/02/21/business/21adco600.1.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 148}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/21/business/21adco75.1.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/21/business/21adco75.1.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Drug Gets a Cameo in a Film Backed by Its Maker"", ""kicker"": ""Advertising"", ""content_kicker"": null, ""print_headline"": ""Drug Gets a Cameo in a Film Backed by Its Maker"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Johnson & Johnson Inc"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Centocor Incorporated"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-02-21T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By Stephanie Saul"", ""person"": [{""firstname"": ""Stephanie"", ""middlename"": null, ""lastname"": ""Saul"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/11f80558-02c9-5e7c-a8fa-4ee06df9bac9"", ""word_count"": 843, ""uri"": ""nyt://article/11f80558-02c9-5e7c-a8fa-4ee06df9bac9""}"
2007-03-09,"{""abstract"": ""While other executives received most or all of their targeted bonus amounts for 2006, James R. Tobin was awarded only 35 percent of his after a year of troubles at the maker of medical devices. "", ""web_url"": ""https://www.nytimes.com/2007/03/09/business/businessspecial/tobinpay.html"", ""snippet"": ""While other executives received most or all of their targeted bonus amounts for 2006, James R. Tobin was awarded only 35 percent of his after a year of troubles at the maker of medical devices. "", ""lead_paragraph"": ""According to federal regulators who slapped Boston Scientific with a rare company-wide warning letter early last year, quality problems with its medical devices were wide-ranging and persistent. The company\u2019s audacious $27 billion acquisition of Guidant in a bidding war with Johnson & Johnson was viewed on Wall Street as too expensive at best. And sales of its biggest product, the Taxus drug-coated stent, sagged on safety fears and concerns among doctors such stents are being used too aggressively. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""C.E.O. Sees His Bonus Cut at Boston Scientific"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""persons"", ""value"": ""Tobin, James R"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wages and Salaries"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stents (Medical Devices)"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Boston Scientific Corporation"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-03-09T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Business"", ""byline"": {""original"": ""By Barnaby J. Feder"", ""person"": [{""firstname"": ""Barnaby"", ""middlename"": ""J."", ""lastname"": ""Feder"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d57017ac-3dd5-50db-a9f0-58ee610a647c"", ""word_count"": 327, ""uri"": ""nyt://article/d57017ac-3dd5-50db-a9f0-58ee610a647c""}"
2007-03-13,"{""abstract"": ""Johnson & Johnson received subpoenas from federal prosecutors related to sales and marketing of three drugs."", ""web_url"": ""https://www.nytimes.com/2007/03/13/business/13drug.html"", ""snippet"": ""Johnson & Johnson received subpoenas from federal prosecutors related to sales and marketing of three drugs."", ""lead_paragraph"": "" Johnson & Johnson said yesterday it had received subpoenas from federal prosecutors in Philadelphia, Boston and San Francisco related to sales and marketing of three drugs."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Drug Maker Subpoenaed About Marketing"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Drug Maker Subpoenaed About Marketing"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Johnson & Johnson Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-03-13T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By DOW JONES/AP"", ""person"": [{""firstname"": """", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/fa9f6c88-1720-5eb3-ae0c-576a7c50d157"", ""word_count"": 120, ""uri"": ""nyt://article/fa9f6c88-1720-5eb3-ae0c-576a7c50d157""}"
2007-03-15,"{""abstract"": ""Use of the anemia drugs will be reviewed by federal health insurance programs because of concerns that side effects may be harming patients."", ""web_url"": ""https://www.nytimes.com/2007/03/15/business/15amgen.html"", ""snippet"": ""Use of the anemia drugs will be reviewed by federal health insurance programs because of concerns that side effects may be harming patients."", ""lead_paragraph"": ""Use of the anemia drugs Aranesp and Epogen, made by Amgen, and Procrit, from Johnson & Johnson, will be reviewed by federal health insurance programs because of concerns that side effects may be harming patients."", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""U.S. to Review Anemia Drugs for Safety"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""U.S. to Review Anemia Drugs For Safety"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ANEMIA"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Johnson & Johnson Inc"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Medicine and Health"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""AMGEN INC"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-03-15T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/379e367c-2c79-58c8-b355-b87b4248f9a7"", ""word_count"": 260, ""uri"": ""nyt://article/379e367c-2c79-58c8-b355-b87b4248f9a7""}"
2007-03-21,"{""abstract"": ""Lawrence J. Ellison\u2019s three-year buying spree as chief executive of Oracle appears to be paying off."", ""web_url"": ""https://www.nytimes.com/2007/03/21/business/21oracle.html"", ""snippet"": ""Lawrence J. Ellison\u2019s three-year buying spree as chief executive of Oracle appears to be paying off."", ""lead_paragraph"": ""Lawrence J. Ellison\u2019s three-year buying spree as chief executive of Oracle appears to be paying off. "", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle Says Profit Rose 35% to Exceed Expectations"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Oracle Says Profit Rose 35% to Exceed Expectations"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Oracle Corp"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Ellison, Lawrence J"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-03-21T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Laurie J. Flynn"", ""person"": [{""firstname"": ""Laurie"", ""middlename"": ""J."", ""lastname"": ""Flynn"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/fae74e6c-8200-5540-b3bd-c28525aafde0"", ""word_count"": 595, ""uri"": ""nyt://article/fae74e6c-8200-5540-b3bd-c28525aafde0""}"
2007-03-22,"[{""abstract"": ""Morgan Stanley\u2019s earnings soared and the firm won a $1.57 billion court appeal. For its chief executive, it doesn\u2019t get better than this."", ""web_url"": ""https://www.nytimes.com/2007/03/22/business/22wall.html"", ""snippet"": ""Morgan Stanley\u2019s earnings soared and the firm won a $1.57 billion court appeal. For its chief executive, it doesn\u2019t get better than this."", ""lead_paragraph"": ""It was a good day for John J. Mack."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Morgan Stanley Net Jumps; Appeal on Lawsuit Is Won"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Morgan Stanley Net Jumps; Appeal on Lawsuit Is Won"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Decisions and Verdicts"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Morgan Stanley"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Mack, John J"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-03-22T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Landon Thomas Jr"", ""person"": [{""firstname"": ""Landon"", ""middlename"": null, ""lastname"": ""Thomas"", ""qualifier"": ""Jr"", ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/20b6b40c-d10c-5fff-97e8-6d282f9378f9"", ""word_count"": 873, ""uri"": ""nyt://article/20b6b40c-d10c-5fff-97e8-6d282f9378f9""}, {""abstract"": ""A House panel began an inquiry into the marketing and regulation of widely used anemia drugs that have raised safety concerns."", ""web_url"": ""https://www.nytimes.com/2007/03/22/business/22anemia.html"", ""snippet"": ""A House panel began an inquiry into the marketing and regulation of widely used anemia drugs that have raised safety concerns."", ""lead_paragraph"": ""A Congressional committee has begun an inquiry into the marketing and regulation of widely used anemia drugs that have recently raised safety concerns. "", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Anemia Drugs Under Review by Congress"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Anemia Drugs Under Review By Congress"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Johnson & Johnson Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Accidents and Safety"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""AMGEN INC"", ""rank"": 5, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""House of Representatives"", ""rank"": 6, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ANEMIA"", ""rank"": 7, ""major"": ""N""}], ""pub_date"": ""2007-03-22T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Andrew Pollack"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": null, ""lastname"": ""Pollack"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d4c3463b-c983-502d-84d5-53c83c5786ee"", ""word_count"": 488, ""uri"": ""nyt://article/d4c3463b-c983-502d-84d5-53c83c5786ee""}]"
2007-03-23,"{""abstract"": ""The Federal Communications Commission is giving up on the idea of letting passengers use cellphones on planes. "", ""web_url"": ""https://www.nytimes.com/2007/03/23/business/23FCC.html"", ""snippet"": ""The Federal Communications Commission is giving up on the idea of letting passengers use cellphones on planes. "", ""lead_paragraph"": ""WASHINGTON, March 22 \u2014 The Federal Communications Commission will give up on the idea of allowing cellphone use on airplanes, the chairman said on Thursday, because it is not clear whether the network on the ground can handle the calls. "", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/03/23/business/23fcc.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/03/23/business/23fcc.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Chief Says F.C.C. Is Against Cellphone Use on Airliners"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Chief Says F.C.C. Is Against Cellphone Use on Airliners"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Federal Communications Commission"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""AIRLINES AND AIRPLANES"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wireless Communications"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Cellular Telephones"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Martin, Kevin J"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-03-23T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Matthew L. Wald"", ""person"": [{""firstname"": ""Matthew"", ""middlename"": ""L."", ""lastname"": ""Wald"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/0cbaaf23-79fe-5020-8bd6-66085ede2d3b"", ""word_count"": 650, ""uri"": ""nyt://article/0cbaaf23-79fe-5020-8bd6-66085ede2d3b""}"
2007-03-26,"{""abstract"": ""Results showed that Johnson & Johnson\u2019s controversial heart drug, Natrecor, did not work in the population studied."", ""web_url"": ""https://www.nytimes.com/2007/03/26/business/26heart.html"", ""snippet"": ""Results showed that Johnson & Johnson\u2019s controversial heart drug, Natrecor, did not work in the population studied."", ""lead_paragraph"": ""A new study presented at a cardiology conference yesterday might allay some fears about the safety of Johnson & Johnson\u2019s controversial heart drug, Natrecor, but the results also showed the drug did not work in the population studied. "", ""print_section"": ""C"", ""print_page"": ""4"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Study Supports Safety of Heart Drug, but Not Its Effectiveness"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Study Supports Safety of Heart Drug, but Not Its Effectiveness"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Heart"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Johnson & Johnson Inc"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Tests and Testing"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Medicine and Health"", ""rank"": 5, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""AMERICAN COLLEGE OF CARDIOLOGY"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-03-26T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Andrew Pollack"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": null, ""lastname"": ""Pollack"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e30a2b9d-bcc2-5714-8fcc-c348d78c8b23"", ""word_count"": 501, ""uri"": ""nyt://article/e30a2b9d-bcc2-5714-8fcc-c348d78c8b23""}"
