Date,Articles
2007-01-02,"{""abstract"": ""Business groups have started using \u201cspeed networking,\u201d a corporate equivalent of speed dating, to explore business prospects."", ""web_url"": ""https://www.nytimes.com/2007/01/02/business/02speed.html"", ""snippet"": ""Business groups have started using \u201cspeed networking,\u201d a corporate equivalent of speed dating, to explore business prospects."", ""lead_paragraph"": ""Business groups are stealing a page from the modern dating handbook by playing host to \u201cspeed networking\u201d events in which professionals move methodically from one business prospect to the next, getting acquainted for just a few minutes at a time."", ""print_section"": ""C"", ""print_page"": ""6"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/02/business/600_speed.jpg"", ""height"": 246, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/02/business/600_speed.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 246}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/02/business/75_speed.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/02/business/75_speed.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""The Hasty Hello"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""The Hasty Hello"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Trade Shows and Fairs"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Entrepreneurship"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Oracle Corp"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-01-02T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Julie Bick"", ""person"": [{""firstname"": ""Julie"", ""middlename"": null, ""lastname"": ""Bick"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/115c76db-2a8d-5092-a2fb-bd8b6ff64e5d"", ""word_count"": 836, ""uri"": ""nyt://article/115c76db-2a8d-5092-a2fb-bd8b6ff64e5d""}"
2007-03-01,"[{""abstract"": ""Oracle is near a deal to acquire Hyperion Solutions, which makes business analysis software, for about $3 billion."", ""web_url"": ""https://www.nytimes.com/2007/03/01/technology/01deal.html"", ""snippet"": ""Oracle is near a deal to acquire Hyperion Solutions, which makes business analysis software, for about $3 billion."", ""lead_paragraph"": ""Oracle is near a deal to acquire Hyperion Solutions, which makes software that allows corporations to analyze and track their performance, for more than $3.1 billion, according to people briefed on the deal."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle Deal for Hyperion Is Expected"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Oracle Deal For Hyperion Is Expected"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Mergers, Acquisitions and Divestitures"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""COMPUTER SOFTWARE"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Oracle Corp"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Hyperion Solutions Corporation"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-03-01T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Andrew Ross Sorkin and Michael J. de la Merced"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": ""Ross"", ""lastname"": ""Sorkin"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Michael"", ""middlename"": ""J."", ""lastname"": ""de la Merced"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d54a265a-e46c-5c8b-bdf9-5acdf2caa7ca"", ""word_count"": 582, ""uri"": ""nyt://article/d54a265a-e46c-5c8b-bdf9-5acdf2caa7ca""}, {""abstract"": "" Oracle said Thursday it would buy Hyperion Solutions, which makes software that allows corporations to analyze and track their performance, for $3.3 billion in cash. The deal would be the latest trophy in a lengthy string of acquisitions for the database software giant, which has been struggling to grow from within. "", ""web_url"": ""https://dealbook.nytimes.com/2007/03/01/oracle-on-the-verge-of-hyperion-deal/"", ""snippet"": """", ""lead_paragraph"": "" Oracle said Thursday it would buy Hyperion Solutions, which makes software that allows corporations to analyze and track their performance, for $3.3 billion in cash. The deal would be the latest trophy in a lengthy string of acquisitions for the database software giant, which has been struggling to grow from within. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle to Buy Hyperion for $3.3 Billion"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-01T12:09:25+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/ba009e2c-1dec-51a2-9b16-b359b0bf5b6e"", ""word_count"": 364, ""uri"": ""nyt://article/ba009e2c-1dec-51a2-9b16-b359b0bf5b6e""}]"
2007-03-02,"{""abstract"": ""The database software said it would buy Hyperion, which makes business analysis software, for $3.3 billion.\n"", ""web_url"": ""https://www.nytimes.com/2007/03/02/business/02oracle.web.html"", ""snippet"": ""The database software said it would buy Hyperion, which makes business analysis software, for $3.3 billion.\n"", ""lead_paragraph"": ""Oracle announced a deal today to acquire Hyperion Solutions, which makes software that allows corporations to analyze and track their performance, for about $3.3 billion."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle Acquires Hyperion Solutions"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Mergers, Acquisitions and Divestitures"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""COMPUTER SOFTWARE"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Oracle Corp"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Hyperion Solutions Corporation"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-03-02T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Andrew Ross Sorkin and Michael J. de la Merced"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": ""Ross"", ""lastname"": ""Sorkin"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Michael"", ""middlename"": ""J."", ""lastname"": ""de la Merced"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/ecd39371-de35-58c8-8970-f0bc62076b4f"", ""word_count"": 488, ""uri"": ""nyt://article/ecd39371-de35-58c8-8970-f0bc62076b4f""}"
2007-03-12,"{""abstract"": ""Warren E. Buffett, dubbed the Oracle of Omaha for his savvy investments in publicly-traded companies, may be facing some competition from buyout shops. BusinessWeek notes that private equity firms, with their coffers bulging with unprecedented amounts of cash, are taking minority stakes in public companies. And, the magazine says, their involvement is causing the halo effect usually reserved for the likes of Mr. Buffett, signaling that there may be a new player to mimic in the market."", ""web_url"": ""https://dealbook.nytimes.com/2007/03/12/is-private-equity-the-next-oracle-of-omaha/"", ""snippet"": """", ""lead_paragraph"": ""Warren E. Buffett, dubbed the Oracle of Omaha for his savvy investments in publicly-traded companies, may be facing some competition from buyout shops. BusinessWeek notes that private equity firms, with their coffers bulging with unprecedented amounts of cash, are taking minority stakes in public companies. And, the magazine says, their involvement is causing the halo effect usually reserved for the likes of Mr. Buffett, signaling that there may be a new player to mimic in the market."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Is Private Equity the Next Oracle of Omaha?"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-12T11:26:38+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By"", ""person"": [], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/bac93b51-5718-545f-8c67-6359ae1d57c9"", ""word_count"": 143, ""uri"": ""nyt://article/bac93b51-5718-545f-8c67-6359ae1d57c9""}"
2007-03-13,"{""abstract"": ""Oracle\u2018s $3.3 billion acquisition of Hyperion Solutions, announced March 1, is turning out to be a very sweet deal for some company insiders. The announcement that Oracle would pay $52 dollar a share for the Santa Clara-based maker of business intelligence software, a big premium over the $42.84 the stock had closed at the previous day, caused Hyperion\u2019s stock to jump 20.4 percent to $51.57 by the close of the market."", ""web_url"": ""https://dealbook.nytimes.com/2007/03/13/timing-is-everything-for-hyperion-insiders/"", ""snippet"": """", ""lead_paragraph"": ""Oracle\u2018s $3.3 billion acquisition of Hyperion Solutions, announced March 1, is turning out to be a very sweet deal for some company insiders. The announcement that Oracle would pay $52 dollar a share for the Santa Clara-based maker of business intelligence software, a big premium over the $42.84 the stock had closed at the previous day, caused Hyperion\u2019s stock to jump 20.4 percent to $51.57 by the close of the market."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Timing Is Everything for Hyperion Insiders"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-13T11:11:57+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/55d31d21-5d6a-581f-a809-ba3273495c86"", ""word_count"": 215, ""uri"": ""nyt://article/55d31d21-5d6a-581f-a809-ba3273495c86""}"
2007-03-21,"{""abstract"": ""Lawrence J. Ellison\u2019s three-year buying spree as chief executive of Oracle appears to be paying off."", ""web_url"": ""https://www.nytimes.com/2007/03/21/business/21oracle.html"", ""snippet"": ""Lawrence J. Ellison\u2019s three-year buying spree as chief executive of Oracle appears to be paying off."", ""lead_paragraph"": ""Lawrence J. Ellison\u2019s three-year buying spree as chief executive of Oracle appears to be paying off. "", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle Says Profit Rose 35% to Exceed Expectations"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Oracle Says Profit Rose 35% to Exceed Expectations"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Oracle Corp"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Ellison, Lawrence J"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-03-21T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Laurie J. Flynn"", ""person"": [{""firstname"": ""Laurie"", ""middlename"": ""J."", ""lastname"": ""Flynn"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/fae74e6c-8200-5540-b3bd-c28525aafde0"", ""word_count"": 595, ""uri"": ""nyt://article/fae74e6c-8200-5540-b3bd-c28525aafde0""}"
2007-03-23,"[{""abstract"": ""Oracle has sued its rival SAP, accusing the big German software maker of intruding into its computer systems to carry out \u201ccorporate theft on a grand scale.\u201d"", ""web_url"": ""https://www.nytimes.com/2007/03/23/technology/23oracle.html"", ""snippet"": ""Oracle has sued its rival SAP, accusing the big German software maker of intruding into its computer systems to carry out \u201ccorporate theft on a grand scale.\u201d"", ""lead_paragraph"": ""Oracle sued its rival SAP yesterday, accusing the big German software maker of intruding into its computer systems to carry out \u201ccorporate theft on a grand scale.\u201d"", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle Says Rival Stole Its Software"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Oracle Says Rival Stole Its Software"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""glocations"", ""value"": ""Germany"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""SAP AG"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Oracle Corp"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""COMPUTER SOFTWARE"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Computers and the Internet"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suits and Litigation"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-03-23T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Steve Lohr"", ""person"": [{""firstname"": ""Steve"", ""middlename"": null, ""lastname"": ""Lohr"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/67df3058-072f-5219-a4e8-bc36c8de1baa"", ""word_count"": 711, ""uri"": ""nyt://article/67df3058-072f-5219-a4e8-bc36c8de1baa""}, {""abstract"": ""The ferocious and long-running battle between Oracle and its German rival, SAP, for pole position in the business software industry took a turn for the courthouse Thursday. Oracle sued SAP accusing the world\u2019s No.1 business software maker of intruding into its computer systems to carry out \u201ccorporate theft on a grand scale.\u201d"", ""web_url"": ""https://dealbook.nytimes.com/2007/03/23/oracle-says-sap-stole-its-software/"", ""snippet"": """", ""lead_paragraph"": ""The ferocious and long-running battle between Oracle and its German rival, SAP, for pole position in the business software industry took a turn for the courthouse Thursday. Oracle sued SAP accusing the world\u2019s No.1 business software maker of intruding into its computer systems to carry out \u201ccorporate theft on a grand scale.\u201d"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Oracle Says SAP Stole Its Software"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-23T11:21:41+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/6b182a28-3d96-52aa-b657-80a70957b2a3"", ""word_count"": 535, ""uri"": ""nyt://article/6b182a28-3d96-52aa-b657-80a70957b2a3""}]"
2007-04-12,"{""abstract"": ""Look out Bill Gates, here comes Carlos Slim Helu. The Mexican telecoms mogul has breezed past Warren Buffett and is gaining on the Microsoft co-founder on the list of the world\u2019s richest men, according to Forbes."", ""web_url"": ""https://dealbook.nytimes.com/2007/04/12/mexican-midas-edges-out-oracle-of-omaha-on-forbes-list/"", ""snippet"": """", ""lead_paragraph"": ""Look out Bill Gates, here comes Carlos Slim Helu. The Mexican telecoms mogul has breezed past Warren Buffett and is gaining on the Microsoft co-founder on the list of the world\u2019s richest men, according to Forbes."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Mexican Midas Edges Out Oracle of Omaha on Forbes List"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-12T11:50:03+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e7dcf894-166c-5fcd-ac76-da9f197bff2f"", ""word_count"": 240, ""uri"": ""nyt://article/e7dcf894-166c-5fcd-ac76-da9f197bff2f""}"
2007-04-17,"{""abstract"": ""Who says venture capitalists have no sense of humor? Well, if anyone was saying it, a recent venture by Sequoia Capital would put the kibosh on that notion. The investment firm which has backed YouTube, Google, Yahoo, Oracle and Apple, among others, has partnered up up with funny man Will Ferrell and writer-director-producer Adam Mckay to launch FunnyOrDie.com, a comedy video site that began its beta release Thursday."", ""web_url"": ""https://dealbook.nytimes.com/2007/04/17/sequoia-gets-its-kicks-with-will-ferrell-web-site/"", ""snippet"": """", ""lead_paragraph"": ""Who says venture capitalists have no sense of humor? Well, if anyone was saying it, a recent venture by Sequoia Capital would put the kibosh on that notion. The investment firm which has backed YouTube, Google, Yahoo, Oracle and Apple, among others, has partnered up up with funny man Will Ferrell and writer-director-producer Adam Mckay to launch FunnyOrDie.com, a comedy video site that began its beta release Thursday."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Sequoia Gets Its Kicks With Will Ferrell Web Site"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-17T12:02:55+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/47d63211-e2eb-52a6-914e-ec4773cbb8d9"", ""word_count"": 254, ""uri"": ""nyt://article/47d63211-e2eb-52a6-914e-ec4773cbb8d9""}"
2007-04-23,"{""abstract"": ""In a deal that seems to have won only praise from analysts, Business Objects, a French-American software company, said it would acquire Cartesis for about $300 million in cash, bolstering its presence in financial enterprise software. Business Objects, which makes so-called business intelligence software, has felt pressure to cut a deal since Oracle bought a rival, Hyperion Solutions, for $3.3 billion last month."", ""web_url"": ""https://dealbook.nytimes.com/2007/04/23/business-objects-to-buy-cartesis-for-300-million/"", ""snippet"": """", ""lead_paragraph"": ""In a deal that seems to have won only praise from analysts, Business Objects, a French-American software company, said it would acquire Cartesis for about $300 million in cash, bolstering its presence in financial enterprise software. Business Objects, which makes so-called business intelligence software, has felt pressure to cut a deal since Oracle bought a rival, Hyperion Solutions, for $3.3 billion last month."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Business Objects to Buy Cartesis for $300 Million"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-23T15:58:40+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/452ad924-80cc-5776-9391-cb9d029c78d6"", ""word_count"": 129, ""uri"": ""nyt://article/452ad924-80cc-5776-9391-cb9d029c78d6""}"
