Date,Articles
2007-01-12,"{""abstract"": ""Employment contracts have been blamed for virtually guaranteeing huge payouts even when an executive fails."", ""web_url"": ""https://www.nytimes.com/2007/01/12/business/12pay.html"", ""snippet"": ""Employment contracts have been blamed for virtually guaranteeing huge payouts even when an executive fails."", ""lead_paragraph"": ""The new heads of Exxon Mobil, PepsiCo and Pfizer don\u2019t have one. Nor do the chief executives at Citigroup, General Electric and Procter & Gamble. And some corporate governance experts say shareholders are better off as a result."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Hire by the Contract Now, Risk a Big Regret Later"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Hire by the Contract Now, Risk a Big Regret Later"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Hiring and Promotion"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Nardelli, Robert L"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Home Depot Inc"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wages and Salaries"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-01-12T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Eric Dash"", ""person"": [{""firstname"": ""Eric"", ""middlename"": null, ""lastname"": ""Dash"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/909a4810-d719-5079-8bd8-6cf0023ea3be"", ""word_count"": 1563, ""uri"": ""nyt://article/909a4810-d719-5079-8bd8-6cf0023ea3be""}"
2007-01-22,"{""abstract"": ""The world\u2019s largest drugmaker is seeking to cut costs by up to $2 billion a year amid fierce competition."", ""web_url"": ""https://www.nytimes.com/2007/01/22/business/22cnd-pfizer.html"", ""snippet"": ""The world\u2019s largest drugmaker is seeking to cut costs by up to $2 billion a year amid fierce competition."", ""lead_paragraph"": ""The drug giant Pfizer said today that it would lay off 10,000 workers and close several manufacturing and research sites in an effort to bolster earnings hurt by the loss of patent protection on certain drugs and setbacks in developing new products. "", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/22/business/pfizerspan.jpg"", ""height"": 250, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/22/business/pfizerspan.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 250}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/22/business/pfizer75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/22/business/pfizer75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Pfizer to Lay Off 10,000 Workers"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Pfizer to Lay Off 10,000 Workers to Cut Costs"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Layoffs and Job Reductions"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-01-22T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""ContinuousNews"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Andrew Pollack"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": null, ""lastname"": ""Pollack"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/1c7e6e5e-8115-52e6-af10-7f37bd534364"", ""word_count"": 836, ""uri"": ""nyt://article/1c7e6e5e-8115-52e6-af10-7f37bd534364""}"
2007-01-23,"[{""abstract"": ""Pfizer will reorganize its businesses and close several manufacturing and research sites, including a plant in Brooklyn, the borough where the drug company began."", ""web_url"": ""https://www.nytimes.com/2007/01/23/business/23pfizer.html"", ""snippet"": ""Pfizer will reorganize its businesses and close several manufacturing and research sites, including a plant in Brooklyn, the borough where the drug company began."", ""lead_paragraph"": ""Pfizer said yesterday that it would cut 7,800 workers, close several manufacturing and research sites and overhaul its business practices in hopes of coping with competition from cheaper generic drugs and setbacks in developing new products. "", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/22/business/pfizerspan.jpg"", ""height"": 250, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/22/business/pfizerspan.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 250}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/22/business/pfizer75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/22/business/pfizer75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Pfizer, Hurt by Rival Drugs, Will Lay Off 7,800"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Pfizer, Hurt by Rival Generic Drugs, Will Lay Off 7,800"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Layoffs and Job Reductions"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-23T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Andrew Pollack"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": null, ""lastname"": ""Pollack"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/5be89693-65a5-5dd2-bec4-2033a87011f2"", ""word_count"": 999, ""uri"": ""nyt://article/5be89693-65a5-5dd2-bec4-2033a87011f2""}, {""abstract"": ""Pfizer is phasing out its manufacturing plant in Brooklyn, on the same Flushing Avenue site where the company was founded in 1849."", ""web_url"": ""https://www.nytimes.com/2007/01/23/business/23react.html"", ""snippet"": ""Pfizer is phasing out its manufacturing plant in Brooklyn, on the same Flushing Avenue site where the company was founded in 1849."", ""lead_paragraph"": ""Pfizer is closing the plant in the borough where it was born."", ""print_section"": ""C"", ""print_page"": ""6"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Shutting Doors Where a Drug-Making Giant Began"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Shutting Doors Where a Drug-Making Giant Began"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Brooklyn (NYC)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Layoffs and Job Reductions"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-23T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Ann Farmer and Nick Bunkley"", ""person"": [{""firstname"": ""Ann"", ""middlename"": null, ""lastname"": ""Farmer"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Nick"", ""middlename"": null, ""lastname"": ""Bunkley"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/6c66842b-9cfc-5d94-a70f-2b3c08ae00bc"", ""word_count"": 979, ""uri"": ""nyt://article/6c66842b-9cfc-5d94-a70f-2b3c08ae00bc""}]"
2007-01-27,"{""abstract"": ""That era when Pfizer was the king of the hill wasn\u2019t some distant age \u2014 it was just maybe three or four years ago. Oh, how the mighty have fallen!"", ""web_url"": ""https://www.nytimes.com/2007/01/27/business/27nocera.html"", ""snippet"": ""That era when Pfizer was the king of the hill wasn\u2019t some distant age \u2014 it was just maybe three or four years ago. Oh, how the mighty have fallen!"", ""lead_paragraph"": ""There was once a pharmaceutical company that could do no wrong. It had the best-selling drug in the world. It saturated the airwaves with its ads, and swarmed doctors\u2019 offices with its army of good-looking sales representatives. It had mastered the art of turning drugs into blockbusters. It made many billions in profits. Wall Street analysts loved it."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/27/business/75_pfizer.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/27/business/75_pfizer.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""The Dangers of Swinging for the Fences"", ""kicker"": ""Talking Business"", ""content_kicker"": null, ""print_headline"": ""The Dangers Of Swinging For the Fences"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-01-27T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Joe Nocera"", ""person"": [{""firstname"": ""Joe"", ""middlename"": null, ""lastname"": ""Nocera"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/3944bfb1-42b1-5ab7-8cdb-bd377f8dce6d"", ""word_count"": 1684, ""uri"": ""nyt://article/3944bfb1-42b1-5ab7-8cdb-bd377f8dce6d""}"
2007-02-02,"{""abstract"": ""Pfizer is acquiring a small Pennsylvania start-up developing experimental treatments for Type 2 diabetes. Pfizer said yesterday that it would buy BioRexis Pharmaceutical, which has 50 employees and two key drug compounds in early testing, for an undisclosed amount."", ""web_url"": ""https://dealbook.nytimes.com/2007/02/02/pfizer-buys-experimental-drug-start-up/"", ""snippet"": """", ""lead_paragraph"": ""Pfizer is acquiring a small Pennsylvania start-up developing experimental treatments for Type 2 diabetes. Pfizer said yesterday that it would buy BioRexis Pharmaceutical, which has 50 employees and two key drug compounds in early testing, for an undisclosed amount."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Pfizer Buys Experimental Drug Start-Up"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-02T12:27:22+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/4a287a12-ea7b-554f-9268-4d3d9e2a3c82"", ""word_count"": 45, ""uri"": ""nyt://article/4a287a12-ea7b-554f-9268-4d3d9e2a3c82""}"
2007-03-21,"{""abstract"": ""Pfizer, the drug maker, won a court ruling yesterday blocking a rival company, Teva Pharmaceutical Industries, from marketing a generic version of the painkiller Celebrex, the world\u2019s top-selling arthritis drug, until 2015."", ""web_url"": ""https://www.nytimes.com/2007/03/21/business/21generic.html"", ""snippet"": ""Pfizer, the drug maker, won a court ruling yesterday blocking a rival company, Teva Pharmaceutical Industries, from marketing a generic version of the painkiller Celebrex, the world\u2019s top-selling arthritis drug, until 2015."", ""lead_paragraph"": ""Pfizer, the drug maker, won a court ruling yesterday blocking a rival company, Teva Pharmaceutical Industries, from marketing a generic version of the painkiller Celebrex, the world\u2019s top-selling arthritis drug, until 2015."", ""print_section"": ""C"", ""print_page"": ""5"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Pfizer Painkiller\u2019s Patent Upheld"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Pfizer Painkiller\u2019s Patent Upheld"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-03-21T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/64478e15-f59f-51cf-8569-19706e8252a7"", ""word_count"": 289, ""uri"": ""nyt://article/64478e15-f59f-51cf-8569-19706e8252a7""}"
2007-04-10,"[{""abstract"": ""Wall Street analysts are cutting their sales estimates for Exubera, which has been dogged by questions about its safety, cost and convenience."", ""web_url"": ""https://www.nytimes.com/2007/04/10/business/10drug.html"", ""snippet"": ""Wall Street analysts are cutting their sales estimates for Exubera, which has been dogged by questions about its safety, cost and convenience."", ""lead_paragraph"": ""Exubera, the first and so far only commercially available inhaled-insulin diabetes treatment, is on the verge of turning into an expensive failure for its maker, Pfizer. "", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/04/10/business/10drug.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/04/10/business/10drug.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Pfizer Drug for Diabetes Is Lagging"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Pfizer Drug For Diabetes Is Lagging"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Exubera (Drug)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Sales"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Medicine and Health"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Diabetes"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-04-10T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Alex Berenson"", ""person"": [{""firstname"": ""Alex"", ""middlename"": null, ""lastname"": ""Berenson"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/251419c4-dce1-5b69-b68f-260005513c63"", ""word_count"": 1063, ""uri"": ""nyt://article/251419c4-dce1-5b69-b68f-260005513c63""}, {""abstract"": ""A consumer group has asked the F.D.A. to ban the long and unconventional ad, saying it gives a false impression."", ""web_url"": ""https://www.nytimes.com/2007/04/10/business/media/10celebrex.web.html"", ""snippet"": ""A consumer group has asked the F.D.A. to ban the long and unconventional ad, saying it gives a false impression."", ""lead_paragraph"": ""A new television advertisement for Pfizer\u2019s painkiller Celebrex that has attracted attention for both its length and innovative marketing approach is now also the target of criticism for its message."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Celebrex Commercial Draws Criticism"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""</hl1> <hl2 class="", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Celebrex (Drug)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-04-10T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By Stephanie Saul"", ""person"": [{""firstname"": ""Stephanie"", ""middlename"": null, ""lastname"": ""Saul"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/fb7510d6-dfa5-505a-ad6e-c827d76cf9d7"", ""word_count"": 828, ""uri"": ""nyt://article/fb7510d6-dfa5-505a-ad6e-c827d76cf9d7""}]"
2007-04-30,"{""abstract"": ""Pfizer has always straddled a line marketing Viagra, insisting that the drug treats a serious medical condition while promoting it with wink-and-a-nod ads."", ""web_url"": ""https://www.nytimes.com/2007/04/30/business/media/30viagra.html"", ""snippet"": ""Pfizer has always straddled a line marketing Viagra, insisting that the drug treats a serious medical condition while promoting it with wink-and-a-nod ads."", ""lead_paragraph"": ""How much sexual innuendo can an advertiser pack into 15 seconds?"", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/04/30/business/30viagra.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/04/30/business/30viagra.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Minky Viagra? Pfizer Doesn\u2019t Want You to Understand It, Just Buy It"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Minky Viagra? Pfizer Doesn\u2019t Want You to Understand It, Just Buy It"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Viagra (Drug)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-04-30T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By Alex Berenson"", ""person"": [{""firstname"": ""Alex"", ""middlename"": null, ""lastname"": ""Berenson"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/32b4f49a-f6df-5ba3-9768-a96c7b8cc6f6"", ""word_count"": 352, ""uri"": ""nyt://article/32b4f49a-f6df-5ba3-9768-a96c7b8cc6f6""}"
2007-05-21,"{""abstract"": ""John L. LaMattina said he was leaving the company, five months after Pfizer was forced to cancel development of its highest-profile drug candidate."", ""web_url"": ""https://www.nytimes.com/2007/05/21/business/21pfizer.html"", ""snippet"": ""John L. LaMattina said he was leaving the company, five months after Pfizer was forced to cancel development of its highest-profile drug candidate."", ""lead_paragraph"": ""Pfizer\u2019s head of research, John L. LaMattina, said yesterday that he was leaving the company, five months after Pfizer was abruptly forced to cancel development of torcetrapib, a heart medicine that was its highest-profile drug candidate."", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Pfizer\u2019s Head of Research Is Departing"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Pfizer\u2019s Head Of Research Is Departing"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Medicine and Health"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-05-21T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Alex Berenson"", ""person"": [{""firstname"": ""Alex"", ""middlename"": null, ""lastname"": ""Berenson"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/17d2e194-da98-56ee-a162-ec40115de18e"", ""word_count"": 392, ""uri"": ""nyt://article/17d2e194-da98-56ee-a162-ec40115de18e""}"
2007-07-06,"{""abstract"": ""Pfizer settled a lawsuit against a rival drug maker, Novartis, for alleged infringement of a United States patent for the antibiotic medicine Zithromax. Pfizer sued Novartis and Sandoz, a unit operating in the United States, in February 2006 in federal court in Wilmington, Del., saying it would be irreparably harmed by the rival companies\u2019 use of the invention for forms of crystal azithromycin; Pfizer sought unspecified damages. The parties have agreed to settle all claims over the 2005 drug patent, and the suit was dismissed June 25, according to court papers. Pfizer is based in New York, and Novartis is based in Basel, Switzerland."", ""web_url"": ""https://www.nytimes.com/2007/07/06/business/worldbusiness/06fobriefs-DRUGSUITSETT_BRF.html"", ""snippet"": ""Pfizer settled a lawsuit against a rival drug maker, Novartis, for alleged infringement of a United States patent for the antibiotic medicine Zithromax. Pfizer sued Novartis and Sandoz, a unit operating in the United States, in February 2006 in fe..."", ""lead_paragraph"": ""Pfizer settled a lawsuit against a rival drug maker, Novartis, for alleged infringement of a United States patent for the antibiotic medicine Zithromax. Pfizer sued Novartis and Sandoz, a unit operating in the United States, in February 2006 in federal court in Wilmington, Del., saying it would be irreparably harmed by the rival companies\u2019 use of the invention for forms of crystal azithromycin; Pfizer sought unspecified damages. The parties have agreed to settle all claims over the 2005 drug patent, and the suit was dismissed June 25, according to court papers. Pfizer is based in New York, and Novartis is based in Basel, Switzerland."", ""print_section"": ""C"", ""print_page"": ""6"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Switzerland: Drug Suit Settled"", ""kicker"": ""World Business Briefing"", ""content_kicker"": null, ""print_headline"": ""Switzerland: Drug Suit Settled"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""NOVARTIS"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Pfizer Inc"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Switzerland"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suits and Litigation"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-07-06T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""Brief"", ""_id"": ""nyt://article/1b816873-7671-5534-8939-b62d4786ce5f"", ""word_count"": 108, ""uri"": ""nyt://article/1b816873-7671-5534-8939-b62d4786ce5f""}"
