Date,Articles
2007-01-18,"{""abstract"": ""Vincent Reinhart, a top adviser on interest rates, is planning to leave the central bank."", ""web_url"": ""https://www.nytimes.com/2007/01/18/business/18fed.html"", ""snippet"": ""Vincent Reinhart, a top adviser on interest rates, is planning to leave the central bank."", ""lead_paragraph"": ""Vincent Reinhart, one of Federal Reserve Chairman Ben S. Bernanke\u2019s top advisers on interest rates, is planning to leave the central bank."", ""print_section"": ""C"", ""print_page"": ""4"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""A Fed Adviser Plans to Leave"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""A Fed Adviser Plans to Leave"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Federal Reserve System"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suspensions, Dismissals and Resignations"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Interest Rates"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bernanke, Ben S"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-01-18T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/18b5529b-4fe9-51ad-9efc-403edd5e7eed"", ""word_count"": 201, ""uri"": ""nyt://article/18b5529b-4fe9-51ad-9efc-403edd5e7eed""}"
2007-01-25,"[{""abstract"": ""Hewlett-Packard is once again at the center of a cloak-and-dagger brouhaha. A former Hewlett executive accused by the company of stealing trade secrets is now saying that he was instructed by the company\u2019s management to spy on a rival, Dell, CNet News.com reported. Karl Kamb, Hewlett\u2019s former vice president of business development and strategy, was named as a defendant in a federal lawsuit filed by the computer maker in 2005 alleging that he used trade secrets to launch a rival flat-screen TV company of his own while still on the payroll."", ""web_url"": ""https://dealbook.nytimes.com/2007/01/25/at-hewlett-packard-more-spying-allegations-fly/"", ""snippet"": """", ""lead_paragraph"": ""Hewlett-Packard is once again at the center of a cloak-and-dagger brouhaha. A former Hewlett executive accused by the company of stealing trade secrets is now saying that he was instructed by the company\u2019s management to spy on a rival, Dell, CNet News.com reported. Karl Kamb, Hewlett\u2019s former vice president of business development and strategy, was named as a defendant in a federal lawsuit filed by the computer maker in 2005 alleging that he used trade secrets to launch a rival flat-screen TV company of his own while still on the payroll."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""At H-P, More Spying Allegations Fly"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-25T12:15:48+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/6201570c-0a82-5357-a70a-5155510479e7"", ""word_count"": 231, ""uri"": ""nyt://article/6201570c-0a82-5357-a70a-5155510479e7""}, {""abstract"": ""Bill Miller, the legendary stock picker who manages the Legg Mason Value Trust mutual fund, says he is often asked whether, on some level, he is relieved that his streak \u2014 15 years of besting the Standard & Poor\u2019s 500 \u2014 is over. \u201cThe answer is no,\u201d he wrote in his latest letter to shareholders of the fund, which ended 2006 up 5.9 percent, far below the 15.8 percent gain in the S&P. He goes on to suggest that it is actually a silly question. "", ""web_url"": ""https://dealbook.nytimes.com/2007/01/25/bill-miller-on-luck-and-the-end-of-the-streak/"", ""snippet"": """", ""lead_paragraph"": ""Bill Miller, the legendary stock picker who manages the Legg Mason Value Trust mutual fund, says he is often asked whether, on some level, he is relieved that his streak \u2014 15 years of besting the Standard & Poor\u2019s 500 \u2014 is over. \u201cThe answer is no,\u201d he wrote in his latest letter to shareholders of the fund, which ended 2006 up 5.9 percent, far below the 15.8 percent gain in the S&P. He goes on to suggest that it is actually a silly question. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Bill Miller on Luck and the End of \u2018The Streak\u2019"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-25T21:14:26+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/66d30b5d-069c-5dff-824f-6d9d668267a6"", ""word_count"": 479, ""uri"": ""nyt://article/66d30b5d-069c-5dff-824f-6d9d668267a6""}]"
2007-01-27,"{""abstract"": ""In an era of niches, when exclusion is as vital as inclusion, Gap has become an anachronism: a single chain, selling only its own brand."", ""web_url"": ""https://www.nytimes.com/2007/01/27/business/27brands.html"", ""snippet"": ""In an era of niches, when exclusion is as vital as inclusion, Gap has become an anachronism: a single chain, selling only its own brand."", ""lead_paragraph"": ""In the fall of 2004, Gap put on a splashy ad campaign called, \u201cHow do you wear it?\u201d with Lenny Kravtiz and Sarah Jessica Parker. It featured the pair dancing in customized Gap jeans \u2014 his with metal studs down the seam; hers with a waist-to-cuff velvet ribbon. "", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/27/business/gap600sub2.jpg"", ""height"": 552, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/27/business/gap600sub2.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 552}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/27/business/75_gap.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/27/business/75_gap.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Gap Is in Need of a Niche"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""The Gap Is in Need of a Niche"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Gap Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""RETAIL STORES AND TRADE"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Pressler, Paul S"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-27T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Michael Barbaro and Hillary Chura"", ""person"": [{""firstname"": ""Michael"", ""middlename"": null, ""lastname"": ""Barbaro"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Hillary"", ""middlename"": null, ""lastname"": ""Chura"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d795d679-5b68-572c-97ba-2417ce64a5bf"", ""word_count"": 1111, ""uri"": ""nyt://article/d795d679-5b68-572c-97ba-2417ce64a5bf""}"
2007-01-30,"{""abstract"": ""As Ben S. Bernanke celebrates his first anniversary as Fed chief, the Fed is still far away from acting on his major proposal of setting an explicit target for inflation."", ""web_url"": ""https://www.nytimes.com/2007/01/30/washington/30fed.html"", ""snippet"": ""As Ben S. Bernanke celebrates his first anniversary as Fed chief, the Fed is still far away from acting on his major proposal of setting an explicit target for inflation."", ""lead_paragraph"": ""WASHINGTON, Jan. 29 \u2014 When Ben S. Bernanke took over as chairman of the Federal Reserve Board one year ago this week, he brought with him a long-held conviction that the central bank should be more explicit about its goals and less personalized than it had been under Alan Greenspan."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/30/business/30bernanke_600.jpg"", ""height"": 280, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/30/business/30bernanke_600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 280}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/30/business/30bernanke_75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/30/business/30bernanke_75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Fed Has Yet to Set Target on Inflation"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Fed Has Yet To Set Target On Inflation"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Federal Reserve System"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Interest Rates"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bernanke, Ben S"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-30T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Washington"", ""byline"": {""original"": ""By Edmund L. Andrews"", ""person"": [{""firstname"": ""Edmund"", ""middlename"": ""L."", ""lastname"": ""Andrews"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/1b8733f4-fb4c-51cd-90c6-f357ec41966b"", ""word_count"": 1144, ""uri"": ""nyt://article/1b8733f4-fb4c-51cd-90c6-f357ec41966b""}"
2007-02-02,"{""abstract"": ""A week after ousting its chief executive, Gap removed his top deputy and former Disney colleague, Cynthia Harriss, as president of the Gap brand."", ""web_url"": ""https://www.nytimes.com/2007/02/02/business/02gap.html"", ""snippet"": ""A week after ousting its chief executive, Gap removed his top deputy and former Disney colleague, Cynthia Harriss, as president of the Gap brand."", ""lead_paragraph"": ""The Disney team is out at Gap. "", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/02/business/02gap.600.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/02/02/business/02gap.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/02/business/02gap.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/02/business/02gap.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Retailer\u2019s Shake-Up Continues as Executive in Charge of Gap Resigns"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Retailer\u2019s Shake-Up Continues as Executive in Charge of Gap Is Ousted"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Gap Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suspensions, Dismissals and Resignations"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Disney, Walt, Co"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Pressler, Paul S"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-02-02T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Michael Barbaro"", ""person"": [{""firstname"": ""Michael"", ""middlename"": null, ""lastname"": ""Barbaro"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/b77a0d5f-45f3-521f-9f51-2d9fe1ae259a"", ""word_count"": 639, ""uri"": ""nyt://article/b77a0d5f-45f3-521f-9f51-2d9fe1ae259a""}"
2007-02-05,"{""abstract"": ""Robert D. Novak, the writer who first named a C.I.A. spy, has remained on the sidelines of a game he started."", ""web_url"": ""https://www.nytimes.com/2007/02/05/business/media/05carr.html"", ""snippet"": ""Robert D. Novak, the writer who first named a C.I.A. spy, has remained on the sidelines of a game he started."", ""lead_paragraph"": ""Last week was a busy one for the journalists caught up in the Valerie Plame saga three years ago. The trial of I. Lewis Libby, the former chief of staff to Vice President Dick Cheney, included the less than appetizing spectacle of watching experienced reporters explain precisely how the job gets done."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-articleLarge.jpg"", ""height"": 900, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-articleLarge.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 900}}, {""rank"": 0, ""subtype"": ""jumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-jumbo.jpg"", ""height"": 1024, ""width"": 683, ""subType"": ""jumbo"", ""crop_name"": ""jumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""superJumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-superJumbo.jpg"", ""height"": 2048, ""width"": 1366, ""subType"": ""superJumbo"", ""crop_name"": ""superJumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-thumbStandard.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-thumbStandard.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}, {""rank"": 0, ""subtype"": ""thumbLarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2013/12/13/business/carr-headshot-new/carr-headshot-new-thumbLarge.jpg"", ""height"": 150, ""width"": 150, ""subType"": ""thumbLarge"", ""crop_name"": ""thumbLarge"", ""legacy"": {}}], ""headline"": {""main"": ""Skipping Merrily Along as Others Take the Heat"", ""kicker"": ""The Media Equation"", ""content_kicker"": null, ""print_headline"": ""Skipping Merrily Along As Others Take the Heat"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""persons"", ""value"": ""Miller, Judith"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Politics and Government"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Novak, Robert"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Plame, Valerie"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suits and Litigation"", ""rank"": 5, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Rove, Karl"", ""rank"": 6, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""News and News Media"", ""rank"": 7, ""major"": ""N""}], ""pub_date"": ""2007-02-05T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By David Carr"", ""person"": [{""firstname"": ""David"", ""middlename"": null, ""lastname"": ""Carr"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/69e28973-2c07-5719-9f4a-794c881a7e10"", ""word_count"": 1291, ""uri"": ""nyt://article/69e28973-2c07-5719-9f4a-794c881a7e10""}"
2007-02-06,"{""abstract"": ""The five biggest stocks in America are lagging this year."", ""web_url"": ""https://economix.blogs.nytimes.com/2007/02/06/too-big-to-rise/"", ""snippet"": ""The five biggest stocks in America are lagging this year."", ""lead_paragraph"": ""The stock market is up so far in 2007, but Howard Silverblatt, Standard & Poor\u2019s senior equity analyst, points out that the move has come without any help from the five largest compamies in the S.&P. 500, which between then make up 12 percent of the index."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Too Big to Rise?"", ""kicker"": ""Economix"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-06T16:29:57+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Economy"", ""byline"": {""original"": ""By Floyd Norris"", ""person"": [{""firstname"": ""Floyd"", ""middlename"": null, ""lastname"": ""Norris"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/74b8dfb6-3c21-54e7-b11e-aa018ca37230"", ""word_count"": 131, ""uri"": ""nyt://article/74b8dfb6-3c21-54e7-b11e-aa018ca37230""}"
2007-02-11,"{""abstract"": ""Traders probably do not expect anything as seductive as a promise to cut interest rates in Ben S. Bernanke\u2019s update to Congress on the economy and Federal Reserve policy."", ""web_url"": ""https://www.nytimes.com/2007/02/11/business/yourmoney/11mark.html"", ""snippet"": ""Traders probably do not expect anything as seductive as a promise to cut interest rates in Ben S. Bernanke\u2019s update to Congress on the economy and Federal Reserve policy."", ""lead_paragraph"": ""TRADERS probably do not expect anything as seductive as a promise to cut interest rates in Ben S. Bernanke\u2019s update to Congress on the economy and Federal Reserve policy. But after months of talk about the perils of inflation, any hint of moderation on Wednesday is likely to be received with some affection."", ""print_section"": ""BU"", ""print_page"": ""6"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/11/business/11mark.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/11/business/11mark.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""An Eye on Inflation as Growth Picks Up"", ""kicker"": ""Market Week"", ""content_kicker"": null, ""print_headline"": ""An Eye On Inflation As Growth Picks Up"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""United States Economy"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Gross National Product (GNP)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bernanke, Ben S"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-02-11T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""SundayBusiness"", ""section_name"": ""Business Day"", ""subsection_name"": ""Your Money"", ""byline"": {""original"": ""By Conrad De Aenlle"", ""person"": [{""firstname"": ""Conrad"", ""middlename"": null, ""lastname"": ""De Aenlle"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d1e6d1e7-a8c9-5167-b294-59b02d1d5d46"", ""word_count"": 443, ""uri"": ""nyt://article/d1e6d1e7-a8c9-5167-b294-59b02d1d5d46""}"
2007-02-15,"[{""abstract"": ""Ben S. Bernanke predicted that unemployment was likely to remain low over the next two years even as inflation declined slightly."", ""web_url"": ""https://www.nytimes.com/2007/02/15/business/15fed.html"", ""snippet"": ""Ben S. Bernanke predicted that unemployment was likely to remain low over the next two years even as inflation declined slightly."", ""lead_paragraph"": ""WASHINGTON, Feb. 14 \u2014 The chairman of the Federal Reserve, Ben S. Bernanke, gave Congress an upbeat view of the economy on Wednesday, predicting that unemployment was likely to remain low over the next two years even as inflation declined slightly."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/15/business/15fed600.1.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/02/15/business/15fed600.1.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/15/business/15fed75.1.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/15/business/15fed75.1.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Fed Chief Says Outlook Is Positive"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Fed Chief Says Outlook Is Positive"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Federal Reserve System"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Economy"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Interest Rates"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bernanke, Ben S"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-02-15T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Edmund L. Andrews"", ""person"": [{""firstname"": ""Edmund"", ""middlename"": ""L."", ""lastname"": ""Andrews"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/02b64328-aae0-51c3-824c-e62b64cefce6"", ""word_count"": 882, ""uri"": ""nyt://article/02b64328-aae0-51c3-824c-e62b64cefce6""}, {""abstract"": ""Wall Street began a rally today after Ben S. Bernanke said that economic growth is under control."", ""web_url"": ""https://www.nytimes.com/2007/02/15/business/15fed.web.html"", ""snippet"": ""Wall Street began a rally today after Ben S. Bernanke said that economic growth is under control."", ""lead_paragraph"": ""Ben S. Bernanke, the Federal Reserve chairman, said today that inflation is improving as the economy expands at a moderate but manageable pace \u0097 the balancing point that the Fed tries to hit as it regulates interest rates."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Fed Chief Suggests Rates  Will Hold Steady"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""United States Economy"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Federal Reserve System"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Interest Rates"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bernanke, Ben S"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-02-15T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Jeremy W. Peters"", ""person"": [{""firstname"": ""Jeremy"", ""middlename"": ""W."", ""lastname"": ""Peters"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/b477c7cd-dd7d-5d30-9e3f-024250ff8762"", ""word_count"": 801, ""uri"": ""nyt://article/b477c7cd-dd7d-5d30-9e3f-024250ff8762""}]"
2007-02-17,"{""abstract"": ""Welcome news about the economy and interest rates touched off a stock market rally that lifted the Dow Jones industrial average to a record."", ""web_url"": ""https://www.nytimes.com/2007/02/17/business/17five.html"", ""snippet"": ""Welcome news about the economy and interest rates touched off a stock market rally that lifted the Dow Jones industrial average to a record."", ""lead_paragraph"": ""GOOD luck in trying to persuade many people in Detroit, but times are pretty good. Welcome news about the economy and interest rates touched off a stock market rally that lifted the Dow Jones industrial average to a record."", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Mostly Good Reports on the Economy, but See Footnotes"", ""kicker"": ""Five Days"", ""content_kicker"": null, ""print_headline"": ""Mostly Good Reports on the Economy, but See Footnotes"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""United States Economy"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bernanke, Ben S"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-02-17T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Mark A. Stein"", ""person"": [{""firstname"": ""Mark"", ""middlename"": ""A."", ""lastname"": ""Stein"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/68133acf-b5a9-55d5-800c-741c1803662d"", ""word_count"": 1005, ""uri"": ""nyt://article/68133acf-b5a9-55d5-800c-741c1803662d""}"
