Date,Articles
2007-03-02,"{""abstract"": ""Shares of Alcan, the world\u2019s second-biggest aluminum producer, rose the most in two weeks on speculation Brazil\u2019s Compahnia Vale do Rio Doce may make a takeover bid. Alcan, based in Montreal, climbed C$2.05, or 3.4 percent, to C$62.87 ($53.62) a share after a Brazilian newspaper, reported that C.V.R.D., the world\u2019s largest iron-ore producer, may bid. Alcan and Alcoa, the world\u2019s largest aluminum producer, repeatedly have been the subjects of takeover speculation amid consolidation in the mining industry."", ""web_url"": ""https://dealbook.nytimes.com/2007/03/02/cvrd-reportedly-eyeing-alcan/"", ""snippet"": """", ""lead_paragraph"": ""Shares of Alcan, the world\u2019s second-biggest aluminum producer, rose the most in two weeks on speculation Brazil\u2019s Compahnia Vale do Rio Doce may make a takeover bid. Alcan, based in Montreal, climbed C$2.05, or 3.4 percent, to C$62.87 ($53.62) a share after a Brazilian newspaper, reported that C.V.R.D., the world\u2019s largest iron-ore producer, may bid. Alcan and Alcoa, the world\u2019s largest aluminum producer, repeatedly have been the subjects of takeover speculation amid consolidation in the mining industry."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""C.V.R.D. Reportedly Eyeing Alcan"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-02T12:36:19+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/bd69fe69-902c-5d96-8a49-2623cb690efe"", ""word_count"": 95, ""uri"": ""nyt://article/bd69fe69-902c-5d96-8a49-2623cb690efe""}"
2007-08-01,"{""abstract"": ""Robert M. Godsell, the chief executive of AngloGold Ashanti, plans to retire after running the company since its creation in 1998 and helping it become the world\u2019s third-biggest gold producer with operations in 10 countries. Mr. Godsell, left, who will step down on September 30, will be succeeded by Mark Cutifani, the chief operating officer of Companhia Vale do Rio Doce\u2019s nickel unit, AngloGold said. Mr. Godsell, 54, was the chief executive of Anglo American\u2019s gold and uranium division from 1995 before taking over as head of AngloGold, a company formed by a merger of Anglo American\u2019s separately traded gold companies and the gold assets of Minorco. Other acquisitions included Ashanti Goldfields of Ghana."", ""web_url"": ""https://www.nytimes.com/2007/08/01/business/worldbusiness/01fobriefs-ANGLOGOLD821_BRF.html"", ""snippet"": ""Robert M. Godsell, the chief executive of AngloGold Ashanti, plans to retire after running the company since its creation in 1998 and helping it become the world\u2019s third-biggest gold producer with operations in 10 countries. Mr. Godsell, left, who..."", ""lead_paragraph"": ""Robert M. Godsell, the chief executive of AngloGold Ashanti, plans to retire after running the company since its creation in 1998 and helping it become the world\u2019s third-biggest gold producer with operations in 10 countries. Mr. Godsell, left, who will step down on September 30, will be succeeded by Mark Cutifani, the chief operating officer of Companhia Vale do Rio Doce\u2019s nickel unit, AngloGold said. Mr. Godsell, 54, was the chief executive of Anglo American\u2019s gold and uranium division from 1995 before taking over as head of AngloGold, a company formed by a merger of Anglo American\u2019s separately traded gold companies and the gold assets of Minorco. Other acquisitions included Ashanti Goldfields of Ghana."", ""print_section"": ""C"", ""print_page"": ""7"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""South Africa: Anglogold\u2019s Chief to Retire"", ""kicker"": ""World Business Briefing"", ""content_kicker"": null, ""print_headline"": ""South Africa: Anglogold\u2019s Chief To Retire"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""glocations"", ""value"": ""South Africa"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Gold"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Metals and Minerals"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-08-01T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""Brief"", ""_id"": ""nyt://article/7ab6d833-ab2c-513c-9018-d03debbf9417"", ""word_count"": 118, ""uri"": ""nyt://article/7ab6d833-ab2c-513c-9018-d03debbf9417""}"
2007-09-06,"{""abstract"": ""Shares of the mining giant Rio Tinto were up sharply Thursday on market speculation that it might be taken over by two rivals, BHP Billiton and Companhia Vale do Rio Doce."", ""web_url"": ""https://dealbook.nytimes.com/2007/09/06/rio-tinto-shares-rise-on-rumors-of-a-two-pronged-bid/"", ""snippet"": """", ""lead_paragraph"": ""Shares of the mining giant Rio Tinto were up sharply Thursday on market speculation that it might be taken over by two rivals, BHP Billiton and Companhia Vale do Rio Doce."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Rio Tinto Shares Rise on Rumors of a Two-Pronged Bid"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-09-06T11:57:30+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/28e8ac1d-788c-5cb8-bb76-79acb91c15fc"", ""word_count"": 278, ""uri"": ""nyt://article/28e8ac1d-788c-5cb8-bb76-79acb91c15fc""}"
2007-11-13,"{""abstract"": ""Yet BHP Billiton, whose $153 billion takeover offer for rival Rio Tinto was rejected by the target\u2019s board, stopped short of making a hostile bid for Rio."", ""web_url"": ""https://www.nytimes.com/2007/11/13/business/worldbusiness/13mine.html"", ""snippet"": ""Yet BHP Billiton, whose $153 billion takeover offer for rival Rio Tinto was rejected by the target\u2019s board, stopped short of making a hostile bid for Rio."", ""lead_paragraph"": ""BHP Billiton, whose $153 billion takeover offer for a rival mining company, Rio Tinto, was rejected by the target\u2019s board, took its case to shareholders yesterday, detailing what it said would eventually be $3.7 billion in annual savings and holding out the promise of $30 billion in payouts if the deal goes ahead."", ""print_section"": ""C"", ""print_page"": ""4"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/11/12/business/13bhp-75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/11/12/business/13bhp-75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""BHP Takes Buyout Plan to Shareholders of Rival"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""BHP Takes Buyout Plan To Shareholders of Rival"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Mergers, Acquisitions and Divestitures"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Rio Tinto PLC"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Mines and Mining"", ""rank"": 4, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Perth (Australia)"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Metals and Minerals"", ""rank"": 6, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Vale do Rio Doce"", ""rank"": 7, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""BHP Billiton PLC"", ""rank"": 8, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 9, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""ANGLO AMERICAN PLC"", ""rank"": 10, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Guinea"", ""rank"": 11, ""major"": ""N""}], ""pub_date"": ""2007-11-13T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Wayne Arnold"", ""person"": [{""firstname"": ""Wayne"", ""middlename"": null, ""lastname"": ""Arnold"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/b858de42-61f1-5642-84a8-71fa85f2d84d"", ""word_count"": 972, ""uri"": ""nyt://article/b858de42-61f1-5642-84a8-71fa85f2d84d""}"
2007-12-11,"{""abstract"": ""Xstrata, the world\u2019s sixth-largest mining company, is open to discussions with potential suitors, including Vale of Brazil and Anglo American, The Financial Times reported."", ""web_url"": ""https://dealbook.nytimes.com/2007/12/11/xstrata-said-to-court-suitors/"", ""snippet"": """", ""lead_paragraph"": ""Xstrata, the world\u2019s sixth-largest mining company, is open to discussions with potential suitors, including Vale of Brazil and Anglo American, The Financial Times reported."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Xstrata Said to Court Suitors"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-12-11T12:02:35+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/59403c90-d5a4-5792-bfe3-87b675a9390b"", ""word_count"": 128, ""uri"": ""nyt://article/59403c90-d5a4-5792-bfe3-87b675a9390b""}"
2008-01-22,"[{""abstract"": ""The world\u2019s largest producer of iron ore, Companhia Vale do Rio Doce of Brazil, said it was in talks with a rival, Swiss-based Xstrata, about a merger."", ""web_url"": ""https://www.nytimes.com/2008/01/22/business/worldbusiness/22mining.html"", ""snippet"": ""The world\u2019s largest producer of iron ore, Companhia Vale do Rio Doce of Brazil, said it was in talks with a rival, Swiss-based Xstrata, about a merger."", ""lead_paragraph"": ""LONDON \u0097 Companhia Vale do Rio Doce, the world\u2019s largest producer of iron ore, said on Monday that it was in talks with a rival, Xstrata, about a merger. "", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2008/01/21/business/0122_mining_600.jpg"", ""height"": 280, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2008/01/21/business/0122_mining_600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 280}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2008/01/21/business/0122_mining_75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2008/01/21/business/0122_mining_75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Brazil\u2019s Vale Confirms Talks to Merge With Xstrata"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Vale, Brazil\u2019s Iron Ore Giant, in Talks With Xstrata"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Mergers, Acquisitions and Divestitures"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Mines and Mining"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Companhia Vale do Rio Doce"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2008-01-22T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Julia Werdigier"", ""person"": [{""firstname"": ""Julia"", ""middlename"": null, ""lastname"": ""Werdigier"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/2984b9d9-7e96-500e-95ee-675f9093055b"", ""word_count"": 639, ""uri"": ""nyt://article/2984b9d9-7e96-500e-95ee-675f9093055b""}, {""abstract"": ""Companhia Vale do Rio Doce, the world\u2019s largest producer of iron ore, said on Monday that it was in talks with a rival, Xstrata, about a merger."", ""web_url"": ""https://dealbook.nytimes.com/2008/01/22/brazils-vale-confirms-talks-to-merge-with-xstrata/"", ""snippet"": """", ""lead_paragraph"": ""Companhia Vale do Rio Doce, the world\u2019s largest producer of iron ore, said on Monday that it was in talks with a rival, Xstrata, about a merger."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Brazil\u2019s Vale Confirms Talks to Merge With Xstrata"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2008-01-22T12:21:08+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/8f448478-dd38-58f6-99e3-be9573f62178"", ""word_count"": 626, ""uri"": ""nyt://article/8f448478-dd38-58f6-99e3-be9573f62178""}]"
2008-01-28,"{""abstract"": ""Xstrata, the world\u2019s fourth-largest copper producer, rose to a three-week high in London trading after newspaper reports that Companhia Vale do Rio Doce may agree to buy the company within the next few days."", ""web_url"": ""https://dealbook.nytimes.com/2008/01/28/xstrata-close-to-vale-bid-report-says/"", ""snippet"": """", ""lead_paragraph"": ""Xstrata, the world\u2019s fourth-largest copper producer, rose to a three-week high in London trading after newspaper reports that Companhia Vale do Rio Doce may agree to buy the company within the next few days."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Xstrata Close to Vale Bid, Report Says"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2008-01-28T12:20:41+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/6d9fb606-9777-511d-adc2-6df9a48ce96a"", ""word_count"": 169, ""uri"": ""nyt://article/6d9fb606-9777-511d-adc2-6df9a48ce96a""}"
2008-02-06,"{""abstract"": ""Merrill Lynch, dropped as an adviser and financier to the Brazilian mining company Vale, has re-emerged in the mining sector as a lender to BHP Billiton, which raised its bid for a rival, Rio Tinto."", ""web_url"": ""https://dealbook.nytimes.com/2008/02/06/merrill-gets-in-on-another-big-mining-deal/"", ""snippet"": """", ""lead_paragraph"": ""Merrill Lynch, dropped as an adviser and financier to the Brazilian mining company Vale, has re-emerged in the mining sector as a lender to BHP Billiton, which raised its bid for a rival, Rio Tinto."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Merrill Gets In on Another Big Mining Deal"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2008-02-06T12:23:09+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/df066ade-a852-5f4b-93dd-7e665e249843"", ""word_count"": 113, ""uri"": ""nyt://article/df066ade-a852-5f4b-93dd-7e665e249843""}"
2008-02-08,"{""abstract"": ""Brazil\u2019s state development bank BNDES sees no reason to oppose an attempt by a local mining company, Companhia Vale do Rio Doce to buy a Swiss-based rival, Xstrata, the bank\u2019s president said Thursday, signaling that the bid is unlikely to be blocked by the government."", ""web_url"": ""https://dealbook.nytimes.com/2008/02/08/brazil-state-bank-wont-oppose-vale-bid-for-xstrata/"", ""snippet"": """", ""lead_paragraph"": ""Brazil\u2019s state development bank BNDES sees no reason to oppose an attempt by a local mining company, Companhia Vale do Rio Doce to buy a Swiss-based rival, Xstrata, the bank\u2019s president said Thursday, signaling that the bid is unlikely to be blocked by the government."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Brazil State Bank Won\u2019t Oppose Vale Bid for Xstrata"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2008-02-08T11:47:39+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/91b68423-9d6d-59b2-b6cf-1c6deb37fa19"", ""word_count"": 125, ""uri"": ""nyt://article/91b68423-9d6d-59b2-b6cf-1c6deb37fa19""}"
2008-02-21,"{""abstract"": ""Rio Tinto\u2019s stance could pressure Chinese steel makers, who are major customers, and may signal the beginning of the end for the benchmark system of iron ore pricing."", ""web_url"": ""https://www.nytimes.com/2008/02/21/business/worldbusiness/21ore.html"", ""snippet"": ""Rio Tinto\u2019s stance could pressure Chinese steel makers, who are major customers, and may signal the beginning of the end for the benchmark system of iron ore pricing."", ""lead_paragraph"": ""SYDNEY, Australia \u0097 Rio Tinto, the world\u2019s second-largest iron ore producer, has indicated that it is not satisfied with the 65 percent increase in the benchmark ore price negotiated by Companhia Vale do Rio Doce, the Brazilian mining conglomerate, with Nippon Steel of Japan and Posco of South Korea. "", ""print_section"": ""C"", ""print_page"": ""10"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Rio Tinto May Break With Other Producers on Iron Ore Price"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Iron Ore Producer May Break With Pricing"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Steel and Iron"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Rio Tinto PLC"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Mines and Mining"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Metals and Minerals"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""BHP Billiton PLC"", ""rank"": 5, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""China"", ""rank"": 6, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Prices (Fares, Fees and Rates)"", ""rank"": 7, ""major"": ""N""}], ""pub_date"": ""2008-02-21T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Tim Johnston"", ""person"": [{""firstname"": ""Tim"", ""middlename"": null, ""lastname"": ""Johnston"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/fe748630-fc02-5dd9-902b-7ad19a41f5d2"", ""word_count"": 611, ""uri"": ""nyt://article/fe748630-fc02-5dd9-902b-7ad19a41f5d2""}"
