Date,Articles
2007-01-06,"{""abstract"": ""Verizon is expected to announce full-length programming to its cellular subscribers from several major television networks."", ""web_url"": ""https://www.nytimes.com/2007/01/06/technology/06phone.html"", ""snippet"": ""Verizon is expected to announce full-length programming to its cellular subscribers from several major television networks."", ""lead_paragraph"": "" LOS ANGELES, Jan. 5 \u0097 Verizon Wireless is expected to announce on Sunday that it will offer full-length programming to its cellular subscribers from several major television networks, according to people apprised of the deal."", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Verizon to Announce Plan for TV Shows on Cellphones"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Verizon to Announce Plan For TV Shows on Cellphones"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Verizon Communications"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wireless Communications"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Cellular Telephones"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Television"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-01-06T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Laura M. Holson"", ""person"": [{""firstname"": ""Laura"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d5d11f8d-aea7-5c75-adc3-ab5029939584"", ""word_count"": 300, ""uri"": ""nyt://article/d5d11f8d-aea7-5c75-adc3-ab5029939584""}"
2007-01-10,"{""abstract"": ""Investors reacted with alarm to a plan by President Hugo Ch\u00e1vez to nationalize crucial areas of the economy."", ""web_url"": ""https://www.nytimes.com/2007/01/10/business/worldbusiness/10venezuela.html"", ""snippet"": ""Investors reacted with alarm to a plan by President Hugo Ch\u00e1vez to nationalize crucial areas of the economy."", ""lead_paragraph"": ""CARACAS, Venezuela, Jan. 9 \u2014 Verizon Communications had been looking to lighten its exposure to Latin America for some time when it struck a deal in April to sell investments in three properties in Puerto Rico, the Dominican Republic and Venezuela."", ""print_section"": ""A"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/10/business/10venez_600.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/10/business/10venez_600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/10/business/10venez_75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/10/business/10venez_75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Venezuelan Plan Shakes Investors"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""VENEZUELAN PLAN SHAKES INVESTORS"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Telephones and Telecommunications"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Nationalization of Industry"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Economic Conditions and Trends"", ""rank"": 3, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Venezuela"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Chavez, Hugo"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Energy and Power"", ""rank"": 6, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Latin America"", ""rank"": 7, ""major"": ""N""}], ""pub_date"": ""2007-01-10T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Simon Romero and Clifford Krauss"", ""person"": [{""firstname"": ""Simon"", ""middlename"": null, ""lastname"": ""Romero"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Clifford"", ""middlename"": null, ""lastname"": ""Krauss"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/3f0bc998-46a8-5452-b908-0f9464d7122b"", ""word_count"": 1462, ""uri"": ""nyt://article/3f0bc998-46a8-5452-b908-0f9464d7122b""}"
2007-01-16,"{""abstract"": ""In an effort to focus on higher-growth wireless and Internet offerings, Verizon Communications will spin off $2.72 billion in landline businesses in Maine, New Hampshire and Vermont, merging them with FairPoint Communications. Verizon shareholders will own 60 percent of the new company, which will have 1.6 million local lines, 234,000 high-speed Internet subscribers and 600,000 customers. Verizon will also shed $1.7 billion in debt in the spinoff."", ""web_url"": ""https://dealbook.nytimes.com/2007/01/16/verizon-spins-off-landlines-to-fairpoint/"", ""snippet"": """", ""lead_paragraph"": ""In an effort to focus on higher-growth wireless and Internet offerings, Verizon Communications will spin off $2.72 billion in landline businesses in Maine, New Hampshire and Vermont, merging them with FairPoint Communications. Verizon shareholders will own 60 percent of the new company, which will have 1.6 million local lines, 234,000 high-speed Internet subscribers and 600,000 customers. Verizon will also shed $1.7 billion in debt in the spinoff."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Verizon Spins Off Landlines to FairPoint"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-16T14:04:15+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/594f6b5e-12d4-59ed-8e14-dc0685f55bf0"", ""word_count"": 72, ""uri"": ""nyt://article/594f6b5e-12d4-59ed-8e14-dc0685f55bf0""}"
2007-01-17,"{""abstract"": ""Millennial Media, a mobile-advertising services company started by a former Verizon executive, has received $6.3 million in Series A funding, CNet News.com reported. The funding comes from Bessemer Venture Partner, an investor in companies such as Blue Nile, Skype and VeriSign; Columbia Capital, an investor in Mobi, Nextel and XM Satellite Radio; and Acta Wireless."", ""web_url"": ""https://dealbook.nytimes.com/2007/01/17/millennial-media-rings-up-63-million-in-funding/"", ""snippet"": """", ""lead_paragraph"": ""Millennial Media, a mobile-advertising services company started by a former Verizon executive, has received $6.3 million in Series A funding, CNet News.com reported. The funding comes from Bessemer Venture Partner, an investor in companies such as Blue Nile, Skype and VeriSign; Columbia Capital, an investor in Mobi, Nextel and XM Satellite Radio; and Acta Wireless."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Millennial Media Rings Up $6.3 Million in Funding"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-17T11:47:59+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/8ef62bde-1c9a-5448-9314-262d5af2ac33"", ""word_count"": 60, ""uri"": ""nyt://article/8ef62bde-1c9a-5448-9314-262d5af2ac33""}"
2007-01-20,"{""abstract"": ""Cellphone subscribers could start to lower their bills by watching advertising on their mobile phones."", ""web_url"": ""https://www.nytimes.com/2007/01/20/technology/20mobile.html"", ""snippet"": ""Cellphone subscribers could start to lower their bills by watching advertising on their mobile phones."", ""lead_paragraph"": ""People often say they do not like advertisements, but that may change if the ads start lowering their cellphone bills."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/20/business/20mobile.600.jpg"", ""height"": 320, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/01/20/business/20mobile.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 320}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/01/20/business/20mobile.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/01/20/business/20mobile.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Madison Avenue Calling"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Madison Avenue Calling"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wireless Communications"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Verizon Communications"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Sprint Nextel Corp"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Cellular Telephones"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Prices (Fares, Fees and Rates)"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-01-20T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Louise Story"", ""person"": [{""firstname"": ""Louise"", ""middlename"": null, ""lastname"": ""Story"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/9bf05978-bfa9-5201-9764-b2631b8ca4b0"", ""word_count"": 1573, ""uri"": ""nyt://article/9bf05978-bfa9-5201-9764-b2631b8ca4b0""}"
2007-01-21,"{""abstract"": ""Greater detail on executive pay will arrive this spring. But shareholders won\u2019t have a greater say on how that pay is computed if some companies get their way."", ""web_url"": ""https://www.nytimes.com/2007/01/21/business/yourmoney/21gret.html"", ""snippet"": ""Greater detail on executive pay will arrive this spring. But shareholders won\u2019t have a greater say on how that pay is computed if some companies get their way."", ""lead_paragraph"": ""GREATER detail on executive pay will arrive this spring, thanks to new regulatory requirements. But shareholders won\u2019t have a greater say on how that pay is computed if companies like AT&T and Verizon Communications get their way."", ""print_section"": ""BU"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Roadblocks to Greater Say on Pay"", ""kicker"": ""Fair Game"", ""content_kicker"": null, ""print_headline"": ""Roadblocks To Greater Say on Pay"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Stocks and Bonds"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wages and Salaries"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-21T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""SundayBusiness"", ""section_name"": ""Business Day"", ""subsection_name"": ""Your Money"", ""byline"": {""original"": ""By Gretchen Morgenson"", ""person"": [{""firstname"": ""Gretchen"", ""middlename"": null, ""lastname"": ""Morgenson"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d32559a5-062a-568b-bc75-aacbc2fb9756"", ""word_count"": 1119, ""uri"": ""nyt://article/d32559a5-062a-568b-bc75-aacbc2fb9756""}"
2007-01-30,"{""abstract"": ""Verizon\u2019s wireless businesses added 2.3 million new customers in the quarter, the bulk of them on long-term contracts. "", ""web_url"": ""https://www.nytimes.com/2007/01/30/business/30verizon.html"", ""snippet"": ""Verizon\u2019s wireless businesses added 2.3 million new customers in the quarter, the bulk of them on long-term contracts. "", ""lead_paragraph"": ""Profit at Verizon Communications fell 38 percent in the fourth quarter, after one-time charges, but the company reported yesterday that it had narrowed the gap with AT&T Wireless in the race for new long-term subscribers. "", ""print_section"": ""C"", ""print_page"": ""4"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Verizon Profit Drops 38%, but Wireless Shows Growth"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Verizon Profit Drops 38%, But Wireless Shows Growth"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Verizon Communications"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Telephones and Telecommunications"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-30T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Laurie J. Flynn"", ""person"": [{""firstname"": ""Laurie"", ""middlename"": ""J."", ""lastname"": ""Flynn"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/058135cc-9675-5af4-b83c-f5bc399a9882"", ""word_count"": 736, ""uri"": ""nyt://article/058135cc-9675-5af4-b83c-f5bc399a9882""}"
2007-02-13,"[{""abstract"": ""Venezuela\u2019s government agreed to buy the stake held by Verizon Communications in Compa\u00f1\u00eda An\u00f3nima Nacional Tel\u00e9fonos de Venezuela for $572 million."", ""web_url"": ""https://www.nytimes.com/2007/02/13/business/worldbusiness/13phone.html"", ""snippet"": ""Venezuela\u2019s government agreed to buy the stake held by Verizon Communications in Compa\u00f1\u00eda An\u00f3nima Nacional Tel\u00e9fonos de Venezuela for $572 million."", ""lead_paragraph"": ""Venezuela\u2019s government agreed yesterday to buy the 28.5 percent stake held by Verizon Communications in Compa\u00f1\u00eda An\u00f3nima Nacional Tel\u00e9fonos de Venezuela for $572 million."", ""print_section"": ""C"", ""print_page"": ""11"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Verizon Sells Venezuela Stake"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Verizon Sells Venezuela Stake"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Verizon Communications"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Telephones and Telecommunications"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Venezuela"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-02-13T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/78b1a6aa-1cc4-5486-b4a5-1f042d5f2479"", ""word_count"": 136, ""uri"": ""nyt://article/78b1a6aa-1cc4-5486-b4a5-1f042d5f2479""}, {""abstract"": ""Venezuela\u2019s government agreed Monday to buy the 28.5 percent stake held by Verizon Communications in Compania Anonima Nacional Telefonos de Venezuela for $572 million. The deal was signed by Jesse Chacon, Venezuela\u2019s telecommunications minister, and John W. Diercksen, Verizon\u2019s executive vice president for strategy and development, on Venezuela\u2019s state television channel."", ""web_url"": ""https://dealbook.nytimes.com/2007/02/13/verizon-sells-venezuela-stake/"", ""snippet"": """", ""lead_paragraph"": ""Venezuela\u2019s government agreed Monday to buy the 28.5 percent stake held by Verizon Communications in Compania Anonima Nacional Telefonos de Venezuela for $572 million. The deal was signed by Jesse Chacon, Venezuela\u2019s telecommunications minister, and John W. Diercksen, Verizon\u2019s executive vice president for strategy and development, on Venezuela\u2019s state television channel."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Verizon Sells Venezuela Stake"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-13T12:26:47+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/bd695f2a-a545-5f6c-9fda-e0f27d812de6"", ""word_count"": 98, ""uri"": ""nyt://article/bd695f2a-a545-5f6c-9fda-e0f27d812de6""}]"
2007-03-05,"{""abstract"": ""Alltel, the wireless telecommunications company, has stepped up efforts to sell itself to carriers such as AT&T, Verizon Communications and Sprint Nextel, The Wall Street Journal reported. According to The Journal, the wireless operator approached AT&T recently about the possibility of selling itself to the telecoms giant. AT&T is reportedly willing to entertain the possibility, but remains skeptical about a combination because of potential antitrust problems, technology-integration issues and Alltel\u2019s stock-market capitalization, which Friday stood at nearly $22 billion."", ""web_url"": ""https://dealbook.nytimes.com/2007/03/05/altell-dials-up-carriers-in-hopes-of-a-deal-report-says/"", ""snippet"": """", ""lead_paragraph"": ""Alltel, the wireless telecommunications company, has stepped up efforts to sell itself to carriers such as AT&T, Verizon Communications and Sprint Nextel, The Wall Street Journal reported. According to The Journal, the wireless operator approached AT&T recently about the possibility of selling itself to the telecoms giant. AT&T is reportedly willing to entertain the possibility, but remains skeptical about a combination because of potential antitrust problems, technology-integration issues and Alltel\u2019s stock-market capitalization, which Friday stood at nearly $22 billion."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Alltel Hopes to Dial Up a Deal, Report Says"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-03-05T12:48:25+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By"", ""person"": [], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/7dadc03a-a377-50a4-a893-3e3b3cf1236b"", ""word_count"": 173, ""uri"": ""nyt://article/7dadc03a-a377-50a4-a893-3e3b3cf1236b""}"
2007-03-09,"{""abstract"": ""A jury ruled that Vonage violated three Verizon patents, dealing a blow to a company already showing signs of stress."", ""web_url"": ""https://www.nytimes.com/2007/03/09/technology/09phone.html"", ""snippet"": ""A jury ruled that Vonage violated three Verizon patents, dealing a blow to a company already showing signs of stress."", ""lead_paragraph"": ""A federal court yesterday ordered the Vonage Holdings Corporation, the Internet phone provider, to pay $58 million for infringing Verizon\u2019s patents, dealing a blow to a company already showing signs of stress."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Court Orders Vonage to Pay $58 Million in Patent Case"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Court Orders Vonage to Pay $58 Million In Patent Case"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Verizon Communications"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Inventions and Patents"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""VONAGE"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Decisions and Verdicts"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Suits and Litigation"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-03-09T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Laurie J. Flynn"", ""person"": [{""firstname"": ""Laurie"", ""middlename"": ""J."", ""lastname"": ""Flynn"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/124a4e79-0a62-5083-a9de-5c3ab209ca7b"", ""word_count"": 526, ""uri"": ""nyt://article/124a4e79-0a62-5083-a9de-5c3ab209ca7b""}"
