Date,Articles
2007-01-04,"{""abstract"": ""The latest financial pundit to unfurl 2007 predictions is David Weidner of MarketWatch, who offers a list of events he expects to see in the next year. A few of them are pretty safe bets: Executive pay will rise, he says; brokerage profits will fall. But his prediction that Wachovia will merge with Wells Fargo \u2014 a banking combination that he is not the first to propose \u2014 comes with a considerable amount of detail. He writes: "", ""web_url"": ""https://dealbook.nytimes.com/2007/01/04/wells-fargo-and-wachovia-is-this-the-year/"", ""snippet"": """", ""lead_paragraph"": ""The latest financial pundit to unfurl 2007 predictions is David Weidner of MarketWatch, who offers a list of events he expects to see in the next year. A few of them are pretty safe bets: Executive pay will rise, he says; brokerage profits will fall. But his prediction that Wachovia will merge with Wells Fargo \u2014 a banking combination that he is not the first to propose \u2014 comes with a considerable amount of detail. He writes: "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wells Fargo and Wachovia: Is This the Year?"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-01-04T17:26:06+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/6b50b3d3-e078-5657-bd31-5d63b94265d1"", ""word_count"": 209, ""uri"": ""nyt://article/6b50b3d3-e078-5657-bd31-5d63b94265d1""}"
2007-02-13,"{""abstract"": ""Shareholders are calling upon companies to provide proof that their business decisions also consider issues involving climate change."", ""web_url"": ""https://www.nytimes.com/2007/02/13/business/13climate.html"", ""snippet"": ""Shareholders are calling upon companies to provide proof that their business decisions also consider issues involving climate change."", ""lead_paragraph"": ""Tracey C. Rembert, the coordinator of corporate governance and engagement for the Service Employees International Union, acknowledges that Wells Fargo is the country\u2019s largest purchaser of renewable energy offsets and has specialists on staff studying all of the implications of climate change on its businesses. "", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Companies Pressed to Define Green Policies"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Companies Pressed to Define Green Policies"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Service Employees International Union"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Environment"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Energy and Power"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-02-13T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Claudia H. Deutsch"", ""person"": [{""firstname"": ""Claudia"", ""middlename"": ""H."", ""lastname"": ""Deutsch"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/8fdf558e-ce60-57c8-9387-be340b2ff9d0"", ""word_count"": 719, ""uri"": ""nyt://article/8fdf558e-ce60-57c8-9387-be340b2ff9d0""}"
2007-04-16,"{""abstract"": ""EARNINGS REPORTS The following companies are scheduled to release earnings reports this week: Citigroup, Eli Lilly, Mattel and Wachovia (Monday); TD Ameritrade Holding, Comerica, CSX, Dow Jones, EMC, Intel, I.B.M., Johnson & Johnson, Mellon Financial, Northern Trust, Wells Fargo and Yahoo (Tuesday); Abbott Laboratories, Commerce Bancorp, E*Trade Financial, eBay, JPMorgan Chase, Motorola, PNC Financial Services, Allstate, Bank of New York, Tribune and United Technologies (Wednesday); Advanced Micro Devices, Altria Group, Continental Airlines, D. R. Horton, First Data, Gannett, Google, Merck, Merrill Lynch, Nokia, Schering-Plough, Southwest Airlines, UnitedHealth Group and Wyeth (Thursday); Caterpillar, Honeywell, McDonald\u2019s, SAP, Schlumberger and Xerox (Friday)."", ""web_url"": ""https://www.nytimes.com/2007/04/16/business/16ahead.html"", ""snippet"": ""EARNINGS REPORTS The following companies are scheduled to release earnings reports this week: Citigroup, Eli Lilly, Mattel and Wachovia (Monday); TD Ameritrade Holding, Comerica, CSX, Dow Jones, EMC, Intel, I.B.M., Johnson & Johnson, Mellon Financ..."", ""lead_paragraph"": ""EARNINGS REPORTS The following companies are scheduled to release earnings reports this week: Citigroup, Eli Lilly, Mattel and Wachovia (Monday); TD Ameritrade Holding, Comerica, CSX, Dow Jones, EMC, Intel, I.B.M., Johnson & Johnson, Mellon Financial, Northern Trust, Wells Fargo and Yahoo (Tuesday); Abbott Laboratories, Commerce Bancorp, E*Trade Financial, eBay, JPMorgan Chase, Motorola, PNC Financial Services, Allstate, Bank of New York, Tribune and United Technologies (Wednesday); Advanced Micro Devices, Altria Group, Continental Airlines, D. R. Horton, First Data, Gannett, Google, Merck, Merrill Lynch, Nokia, Schering-Plough, Southwest Airlines, UnitedHealth Group and Wyeth (Thursday); Caterpillar, Honeywell, McDonald\u2019s, SAP, Schlumberger and Xerox (Friday)."", ""print_section"": ""C"", ""print_page"": ""4"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Looking Ahead"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-04-16T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By The New York Times"", ""person"": [], ""organization"": ""The New York Times""}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d6e6c5c4-a42d-5d74-a778-a389e30a6ec1"", ""word_count"": 194, ""uri"": ""nyt://article/d6e6c5c4-a42d-5d74-a778-a389e30a6ec1""}"
2007-05-07,"{""abstract"": ""In the eat-or-be-eaten world of banking, Greater Bay Bancorp\u2018s network of Bay Area community banks became a snack Friday for giant Wells Fargo. Wells Fargo agreed to pay about $1.5 billion in stock for the East Palo Alto, Calif., holding company, which is better known to most customers for its individual banks, including Santa Clara Valley National Bank, Mid-Peninsula Bank, Peninsula Bank of Commerce and Mount Diablo National Bank."", ""web_url"": ""https://dealbook.nytimes.com/2007/05/07/wells-fargo-gobbles-up-greater-bay-bancorp/"", ""snippet"": """", ""lead_paragraph"": ""In the eat-or-be-eaten world of banking, Greater Bay Bancorp\u2018s network of Bay Area community banks became a snack Friday for giant Wells Fargo. Wells Fargo agreed to pay about $1.5 billion in stock for the East Palo Alto, Calif., holding company, which is better known to most customers for its individual banks, including Santa Clara Valley National Bank, Mid-Peninsula Bank, Peninsula Bank of Commerce and Mount Diablo National Bank."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wells Fargo Gobbles Up Greater Bay Bancorp"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-05-07T11:13:15+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/89f0abc8-5ebb-5b36-abd2-902427864eb2"", ""word_count"": 100, ""uri"": ""nyt://article/89f0abc8-5ebb-5b36-abd2-902427864eb2""}"
2007-06-27,"{""abstract"": ""John Stumpf, the new chief of Wells Fargo, said Wednesday that it is \u201chighly unlikely\u201d that the bank will make any big acquisitions outside its existing geographical markets. He did not rule it out, though, telling Reuters that, while \u201cwe don\u2019t want to be big for big\u2019s sake,\u201d Wells Fargo would nevertheless \u201clook at a larger transaction out of market.\u201d"", ""web_url"": ""https://dealbook.nytimes.com/2007/06/27/new-wells-chief-charts-stay-at-home-deal-strategy/"", ""snippet"": """", ""lead_paragraph"": ""John Stumpf, the new chief of Wells Fargo, said Wednesday that it is \u201chighly unlikely\u201d that the bank will make any big acquisitions outside its existing geographical markets. He did not rule it out, though, telling Reuters that, while \u201cwe don\u2019t want to be big for big\u2019s sake,\u201d Wells Fargo would nevertheless \u201clook at a larger transaction out of market.\u201d"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""New Wells Chief Charts Stay-at-Home Deal Strategy"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-06-27T18:02:16+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/556db59a-a862-51a4-961d-e74f28c8a449"", ""word_count"": 260, ""uri"": ""nyt://article/556db59a-a862-51a4-961d-e74f28c8a449""}"
2007-06-28,"[{""abstract"": ""Wells Fargo and its former director of research were fined for failing to disclose in a research report that an analyst had taken a job with the company she was recommending."", ""web_url"": ""https://www.nytimes.com/2007/06/28/business/28analyst.html"", ""snippet"": ""Wells Fargo and its former director of research were fined for failing to disclose in a research report that an analyst had taken a job with the company she was recommending."", ""lead_paragraph"": ""The NASD said yesterday that it had fined Wells Fargo and its former director of research for failing to disclose in a research report that an analyst had taken a job with the company she was recommending."", ""print_section"": ""C"", ""print_page"": ""12"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wells Fargo and Ex-Analyst Are Fined"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Wells Fargo and Ex-Analyst Are Fined"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Fines (Penalties)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Jordan, Jennifer"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Research"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-06-28T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Floyd Norris"", ""person"": [{""firstname"": ""Floyd"", ""middlename"": null, ""lastname"": ""Norris"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d68641cf-0632-5b5d-8eaa-50b9e244a1d6"", ""word_count"": 311, ""uri"": ""nyt://article/d68641cf-0632-5b5d-8eaa-50b9e244a1d6""}, {""abstract"": ""John G. Stumpf, Wells Fargo\u2019s chief operating officer, has become chief executive a year and a half earlier than expected."", ""web_url"": ""https://www.nytimes.com/2007/06/28/business/28fargos.html"", ""snippet"": ""John G. Stumpf, Wells Fargo\u2019s chief operating officer, has become chief executive a year and a half earlier than expected."", ""lead_paragraph"": ""The Wells Fargo stagecoach has a new driver."", ""print_section"": ""C"", ""print_page"": ""12"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wells Fargo Gives Next Chief an Early Start"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Wells Fargo Gives Next Chief an Early Start"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 1, ""major"": ""N""}], ""pub_date"": ""2007-06-28T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Eric Dash"", ""person"": [{""firstname"": ""Eric"", ""middlename"": null, ""lastname"": ""Dash"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/d9649a38-9930-5a9a-8b1a-8f767c6c0a42"", ""word_count"": 597, ""uri"": ""nyt://article/d9649a38-9930-5a9a-8b1a-8f767c6c0a42""}, {""abstract"": ""The NASD said Wednesday that it had fined Wells Fargo and its former director of research for failing to disclose that an analyst had taken a job with the company she was recommending."", ""web_url"": ""https://www.nytimes.com/2007/06/28/business/27cnd-analyst.html"", ""snippet"": ""The NASD said Wednesday that it had fined Wells Fargo and its former director of research for failing to disclose that an analyst had taken a job with the company she was recommending."", ""lead_paragraph"": ""The NASD said today that it had fined Wells Fargo and its former director of research for failing to disclose in a research report that an analyst had taken a job with the company she was recommending."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wells Fargo Fined in Disclosure Case"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""NASD"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Jordan, Jennifer"", ""rank"": 2, ""major"": ""N""}], ""pub_date"": ""2007-06-28T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Floyd Norris"", ""person"": [{""firstname"": ""Floyd"", ""middlename"": null, ""lastname"": ""Norris"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e717bf93-3cb0-58a6-b474-0d1dad163d94"", ""word_count"": 310, ""uri"": ""nyt://article/e717bf93-3cb0-58a6-b474-0d1dad163d94""}, {""abstract"": ""The NASD said Wednesday that it had fined Wells Fargo and its former director of research for failing to disclose in a research report that an analyst had taken a job with the company she was recommending. The analyst, Jennifer Jordan, who is now a corporate vice president in charge of investor relations at the company, Cadence Design Systems, refused to settle the NASD case and will fight it, her lawyer said."", ""web_url"": ""https://dealbook.nytimes.com/2007/06/28/wells-fargo-and-ex-analyst-are-fined/"", ""snippet"": """", ""lead_paragraph"": ""The NASD said Wednesday that it had fined Wells Fargo and its former director of research for failing to disclose in a research report that an analyst had taken a job with the company she was recommending. The analyst, Jennifer Jordan, who is now a corporate vice president in charge of investor relations at the company, Cadence Design Systems, refused to settle the NASD case and will fight it, her lawyer said."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Wells Fargo and Ex-Analyst Are Fined"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-06-28T11:14:55+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/7737f660-6119-55b8-b776-9f68dd02dc07"", ""word_count"": 98, ""uri"": ""nyt://article/7737f660-6119-55b8-b776-9f68dd02dc07""}]"
2007-07-16,"{""abstract"": ""COMPANY REPORTS Earnings season gets into full swing, particularly for technology, financial and drug companies. Reports will come from Charles Schwab and Mattel (Monday); Coca-Cola, I.B.M., Intel, Johnson & Johnson, Merrill Lynch, Novartis, Wells Fargo and Yahoo (Tuesday); Abbott Laboratories, Altria, AMR, Delta Air Lines, eBay, JPMorgan Chase, Pfizer, Southwest Airlines and United Technologies (Wednesday); Advanced Micro Devices, Bank of America, Bank of New York Mellon, Continental Airlines, Dow Jones, First Data, Google, Honeywell, Microsoft, Motorola and Wyeth (Thursday); and Boston Scientific, Caterpillar and Citigroup (Friday)."", ""web_url"": ""https://www.nytimes.com/2007/07/16/business/16ahead.html"", ""snippet"": ""COMPANY REPORTS Earnings season gets into full swing, particularly for technology, financial and drug companies. Reports will come from Charles Schwab and Mattel (Monday); Coca-Cola, I.B.M., Intel, Johnson & Johnson, Merrill Lynch, Novartis, Wells..."", ""lead_paragraph"": ""COMPANY REPORTS Earnings season gets into full swing, particularly for technology, financial and drug companies. Reports will come from Charles Schwab and Mattel (Monday); Coca-Cola, I.B.M., Intel, Johnson & Johnson, Merrill Lynch, Novartis, Wells Fargo and Yahoo (Tuesday); Abbott Laboratories, Altria, AMR, Delta Air Lines, eBay, JPMorgan Chase, Pfizer, Southwest Airlines and United Technologies (Wednesday); Advanced Micro Devices, Bank of America, Bank of New York Mellon, Continental Airlines, Dow Jones, First Data, Google, Honeywell, Microsoft, Motorola and Wyeth (Thursday); and Boston Scientific, Caterpillar and Citigroup (Friday)."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Looking Ahead"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Looking Ahead"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""International Business Machines Corp"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Drugs (Pharmaceuticals)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Politics and Government"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Intel Corp"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""AIRLINES AND AIRPLANES"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Computers and the Internet"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-07-16T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": """", ""person"": [], ""organization"": null}, ""type_of_material"": ""Schedule"", ""_id"": ""nyt://article/0c6441f0-3edd-5f25-a4c5-05cc77f53064"", ""word_count"": 287, ""uri"": ""nyt://article/0c6441f0-3edd-5f25-a4c5-05cc77f53064""}"
2007-07-23,"{""abstract"": ""Pete Wells, the editor of the Dining In/Dining Out section, is answering questions July 23-27."", ""web_url"": ""https://www.nytimes.com/2007/07/23/business/media/23asktheeditors.html"", ""snippet"": ""Pete Wells, the editor of the Dining In/Dining Out section, is answering questions July 23-27."", ""lead_paragraph"": ""Pete Wells, The Times's dining editor, answered questions from readers July 23-27, 2007. "", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Talk to the Newsroom: <br>Dining Editor Pete Wells"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-07-23T14:57:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": """", ""person"": [], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/7ba6085e-f620-55b1-8907-1095312ad98c"", ""word_count"": 6380, ""uri"": ""nyt://article/7ba6085e-f620-55b1-8907-1095312ad98c""}"
2007-08-20,"{""abstract"": ""Americans who have lost their homes may be subject to income taxes on their canceled debt."", ""web_url"": ""https://www.nytimes.com/2007/08/20/business/20taxes.html"", ""snippet"": ""Americans who have lost their homes may be subject to income taxes on their canceled debt."", ""lead_paragraph"": ""Two years ago, William Stout lost his home in Allentown, Pa., to foreclosure when he could no longer make the payments on his $106,000 mortgage. Wells Fargo offered the two-bedroom house for sale on the courthouse steps. No bidders came forward. So Wells Fargo bought it for $1, county records show."", ""print_section"": ""A"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""After Foreclosure, a Big Tax Bill From the I.R.S."", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""After the Pain Of Foreclosure, A Big Tax Bill"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Internal Revenue Service"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Taxation"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Housing"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Mortgages"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Wells Fargo & Co"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-08-20T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Geraldine Fabrikant"", ""person"": [{""firstname"": ""Geraldine"", ""middlename"": null, ""lastname"": ""Fabrikant"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/8385e48a-b797-5af9-b1a5-9aeebf06a925"", ""word_count"": 1351, ""uri"": ""nyt://article/8385e48a-b797-5af9-b1a5-9aeebf06a925""}"
2007-10-17,"[{""abstract"": ""Three large banks \u2014 Wells Fargo, Regions Financial and KeyCorp \u2014 reported lower-than-estimated third-quarter profits and said rising loan losses may impact future earnings."", ""web_url"": ""https://www.nytimes.com/2007/10/17/business/17bank.html"", ""snippet"": ""Three large banks \u2014 Wells Fargo, Regions Financial and KeyCorp \u2014 reported lower-than-estimated third-quarter profits and said rising loan losses may impact future earnings."", ""lead_paragraph"": ""Three large banking companies \u2014 Wells Fargo, Regions Financial and KeyCorp \u2014 reported lower-than-estimated third-quarter profits yesterday and said rising loan losses might hurt future earnings."", ""print_section"": ""C"", ""print_page"": ""5"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Earnings Are Disappointing at 3 Big Banks"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Earnings Are Disappointing at 3 Big Banks"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Banks and Banking"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Mortgages"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Wells Fargo & Co"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-10-17T04:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/9fabbc3b-dc6f-5b0a-a596-ed6bbfe57604"", ""word_count"": 330, ""uri"": ""nyt://article/9fabbc3b-dc6f-5b0a-a596-ed6bbfe57604""}, {""abstract"": ""Three large banking companies, Wells Fargo, Regions Financial and KeyCorp. reported lower-than-estimated third-quarter profits Tuesday and said rising loan losses might hurt future earnings."", ""web_url"": ""https://dealbook.nytimes.com/2007/10/17/earnings-are-disappointing-at-3-big-banks/"", ""snippet"": """", ""lead_paragraph"": ""Three large banking companies, Wells Fargo, Regions Financial and KeyCorp. reported lower-than-estimated third-quarter profits Tuesday and said rising loan losses might hurt future earnings."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Earnings Are Disappointing at 3 Big Banks"", ""kicker"": ""DealBook"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-10-17T11:15:07+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Dealbook"", ""person"": [{""firstname"": ""Dealbook"", ""middlename"": null, ""lastname"": """", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/e16311fa-b645-57c4-a57b-d45aa337a6ad"", ""word_count"": 327, ""uri"": ""nyt://article/e16311fa-b645-57c4-a57b-d45aa337a6ad""}]"
