Date,Articles
2007-01-04,"{""abstract"": ""A scientists\u2019 organization accused Exxon of spending millions to manipulate public opinion on the seriousness of global warming."", ""web_url"": ""https://www.nytimes.com/2007/01/04/business/04exxon.html"", ""snippet"": ""A scientists\u2019 organization accused Exxon of spending millions to manipulate public opinion on the seriousness of global warming."", ""lead_paragraph"": ""HOUSTON, Jan. 3 \u2014 The Union of Concerned Scientists released a report on Wednesday accusing Exxon Mobil of spending millions of dollars to manipulate public opinion on the seriousness of global warming. "", ""print_section"": ""C"", ""print_page"": ""7"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Exxon Accused of Trying to Mislead Public"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Exxon Accused of Trying to Mislead Public"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Global Warming"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Politics and Government"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Environment"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Philip Morris Companies Inc"", ""rank"": 5, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Union of Concerned Scientists"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-01-04T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Clifford Krauss"", ""person"": [{""firstname"": ""Clifford"", ""middlename"": null, ""lastname"": ""Krauss"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/38db37ce-dc63-5075-9cc1-e46f3e12b9ee"", ""word_count"": 286, ""uri"": ""nyt://article/38db37ce-dc63-5075-9cc1-e46f3e12b9ee""}"
2007-01-12,"{""abstract"": ""Employment contracts have been blamed for virtually guaranteeing huge payouts even when an executive fails."", ""web_url"": ""https://www.nytimes.com/2007/01/12/business/12pay.html"", ""snippet"": ""Employment contracts have been blamed for virtually guaranteeing huge payouts even when an executive fails."", ""lead_paragraph"": ""The new heads of Exxon Mobil, PepsiCo and Pfizer don\u2019t have one. Nor do the chief executives at Citigroup, General Electric and Procter & Gamble. And some corporate governance experts say shareholders are better off as a result."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Hire by the Contract Now, Risk a Big Regret Later"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Hire by the Contract Now, Risk a Big Regret Later"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Hiring and Promotion"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Appointments and Executive Changes"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Nardelli, Robert L"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Home Depot Inc"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Executives and Management"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wages and Salaries"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2007-01-12T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Eric Dash"", ""person"": [{""firstname"": ""Eric"", ""middlename"": null, ""lastname"": ""Dash"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/909a4810-d719-5079-8bd8-6cf0023ea3be"", ""word_count"": 1563, ""uri"": ""nyt://article/909a4810-d719-5079-8bd8-6cf0023ea3be""}"
2007-01-18,"{""abstract"": ""Exxon Mobil said output from its $17 billion Sakhalin Island development in the Pacific off Russia jumped 40 percent in the last month. Oil and natural gas production from the Sakhalin-1 development has risen to the equivalent of more than 200,000 barrels of crude a day, according to Stuart McGill, senior vice president. Exxon, which operates and owns a 30 percent stake in the project, expects output eventually to reach the equivalent of 317,000 barrels a day. Production at Sakhalin-1 was about 160,000 barrels a day in early December, a Bear Stearns analyst, Nicole Decker, said in a Dec. 13 note to clients after an analysts\u2019 lunch with Exxon\u2019s chief executive, Rex W. Tillerson. Exxon began producing crude from the Chayvo field off Sakhalin Island\u2019s ice-choked coastline in October 2005. Exxon\u2019s partners in Sakhalin-1 are a Japanese group known as Sodeco, the Oil and Natural Gas Corporation of India and the state-run Russian oil company Rosneft."", ""web_url"": ""https://www.nytimes.com/2007/01/18/business/worldbusiness/18fobriefs-SAKHALINPROD_BRF.html"", ""snippet"": ""Exxon Mobil said output from its $17 billion Sakhalin Island development in the Pacific off Russia jumped 40 percent in the last month. Oil and natural gas production from the Sakhalin-1 development has risen to the equivalent of more than 200,000..."", ""lead_paragraph"": ""Exxon Mobil said output from its $17 billion Sakhalin Island development in the Pacific off Russia jumped 40 percent in the last month. Oil and natural gas production from the Sakhalin-1 development has risen to the equivalent of more than 200,000 barrels of crude a day, according to Stuart McGill, senior vice president. Exxon, which operates and owns a 30 percent stake in the project, expects output eventually to reach the equivalent of 317,000 barrels a day. Production at Sakhalin-1 was about 160,000 barrels a day in early December, a Bear Stearns analyst, Nicole Decker, said in a Dec. 13 note to clients after an analysts\u2019 lunch with Exxon\u2019s chief executive, Rex W. Tillerson. Exxon began producing crude from the Chayvo field off Sakhalin Island\u2019s ice-choked coastline in October 2005. Exxon\u2019s partners in Sakhalin-1 are a Japanese group known as Sodeco, the Oil and Natural Gas Corporation of India and the state-run Russian oil company Rosneft."", ""print_section"": ""C"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Russia: Sakhalin Production Increases"", ""kicker"": ""World Business Briefing"", ""content_kicker"": null, ""print_headline"": ""Russia: Sakhalin Production Increases"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""glocations"", ""value"": ""Russia"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Oil (Petroleum) and Gasoline"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Sakhalin Island (Russia)"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-01-18T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Bloomberg News"", ""person"": [{""firstname"": ""Bloomberg"", ""middlename"": null, ""lastname"": ""News"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""Brief"", ""_id"": ""nyt://article/d14ab3de-e2f0-5c07-ace7-117c2d949a0f"", ""word_count"": 157, ""uri"": ""nyt://article/d14ab3de-e2f0-5c07-ace7-117c2d949a0f""}"
2007-02-01,"[{""abstract"": ""The $39.5 billion profit topped the previous record for a U.S. company, which Exxon set in 2005."", ""web_url"": ""https://www.nytimes.com/2007/02/01/business/01cnd-exxon.html"", ""snippet"": ""The $39.5 billion profit topped the previous record for a U.S. company, which Exxon set in 2005."", ""lead_paragraph"": ""HOUSTON, Feb. 1 \u0097 Exxon Mobil reported a record annual profit today but a modest decline in fourth-quarter earnings because of falling oil and gas prices. Meanwhile, its competitor Royal Dutch Shell reported an unexpected rise in quarterly earnings, a sign that the industry is still going strong."", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Exxon Sets Record on Annual Profits"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-01T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""ContinuousNews"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Clifford Krauss"", ""person"": [{""firstname"": ""Clifford"", ""middlename"": null, ""lastname"": ""Krauss"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/b6107b32-8eb6-53b2-8f5e-3f77faec4dcb"", ""word_count"": 408, ""uri"": ""nyt://article/b6107b32-8eb6-53b2-8f5e-3f77faec4dcb""}, {""abstract"": ""Exxon Mobil Capital Spending Rises, But Not As Rapidly As Its Sharebuybacks"", ""web_url"": ""https://economix.blogs.nytimes.com/2007/02/01/what-exxon-mobil-does-with-its-money/"", ""snippet"": ""Exxon Mobil Capital Spending Rises, But Not As Rapidly As Its Sharebuybacks"", ""lead_paragraph"": ""Here are a couple of highlights from Exxon Mobil\u2019s report on its record profit of $39.5 billion in 2006:"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""What Exxon Mobil Does With Its Money"", ""kicker"": ""Economix"", ""content_kicker"": null, ""print_headline"": """", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [], ""pub_date"": ""2007-02-01T21:13:44+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Economy"", ""byline"": {""original"": ""By Floyd Norris"", ""person"": [{""firstname"": ""Floyd"", ""middlename"": null, ""lastname"": ""Norris"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/6c67e81f-8bf6-58df-83a3-908334539812"", ""word_count"": 166, ""uri"": ""nyt://article/6c67e81f-8bf6-58df-83a3-908334539812""}]"
2007-02-02,"{""abstract"": ""Exxon\u2019s profit of $39.5 billion broke the record it set last year for the largest profit ever by an American company. "", ""web_url"": ""https://www.nytimes.com/2007/02/02/business/02oil.html"", ""snippet"": ""Exxon\u2019s profit of $39.5 billion broke the record it set last year for the largest profit ever by an American company. "", ""lead_paragraph"": ""HOUSTON, Feb. 1 \u2014 Oil prices have fallen, but Exxon Mobil and Royal Dutch Shell left their smaller competitors in the dust and reported record annual profits Thursday."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/02/business/02oil.600.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/02/02/business/02oil.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/02/02/business/02oil.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/02/02/business/02oil.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Exxon and Shell Report Record Profits for 2006"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Record Profit For Exxon And Shell"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Royal Dutch/Shell Group"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Company Reports"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Oil (Petroleum) and Gasoline"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 4, ""major"": ""N""}], ""pub_date"": ""2007-02-02T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Clifford Krauss"", ""person"": [{""firstname"": ""Clifford"", ""middlename"": null, ""lastname"": ""Krauss"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/64b96d26-4568-5e83-87f9-4d49b8f44a10"", ""word_count"": 1111, ""uri"": ""nyt://article/64b96d26-4568-5e83-87f9-4d49b8f44a10""}"
2007-02-03,"{""abstract"": ""The economy expanded faster than expected in the last quarter of 2006 and remains strong. "", ""web_url"": ""https://www.nytimes.com/2007/02/03/business/03five.html"", ""snippet"": ""The economy expanded faster than expected in the last quarter of 2006 and remains strong. "", ""lead_paragraph"": ""LED by growing exports, the economy expanded faster than expected in the last quarter of 2006 and remains strong. That is good news for most people, including most workers, who are seeing robust wage growth, but was not good enough for the chief of one consumer electronics company, who was shoved aside for poor performance."", ""print_section"": ""C"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Good News on Economy, Except for a Dell Executive"", ""kicker"": ""Five Days"", ""content_kicker"": null, ""print_headline"": ""Good News on Economy, Except for a Dell Executive"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Delta Air Lines Inc"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Tata Steel"", ""rank"": 2, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Dell Inc"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Dell, Michael S"", ""rank"": 5, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""New York Stock Exchange"", ""rank"": 6, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""United States Economy"", ""rank"": 7, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""US Airways"", ""rank"": 8, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wages and Salaries"", ""rank"": 9, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bush, George W"", ""rank"": 10, ""major"": ""N""}], ""pub_date"": ""2007-02-03T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Mark A. Stein"", ""person"": [{""firstname"": ""Mark"", ""middlename"": ""A."", ""lastname"": ""Stein"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/3bfdc4d3-392b-52d4-8bec-762fad3f832d"", ""word_count"": 1042, ""uri"": ""nyt://article/3bfdc4d3-392b-52d4-8bec-762fad3f832d""}"
2007-02-10,"{""abstract"": ""If Exxon Mobil doesn\u2019t learn to talk more straightforwardly about its beliefs, it will never stop being the world\u2019s whipping boy."", ""web_url"": ""https://www.nytimes.com/2007/02/10/business/10nocera.html"", ""snippet"": ""If Exxon Mobil doesn\u2019t learn to talk more straightforwardly about its beliefs, it will never stop being the world\u2019s whipping boy."", ""lead_paragraph"": ""Late last week, Exxon Mobil announced that it had made an astonishing $39.5 billion in 2006. No company in history, not Microsoft, not Wal-Mart, has ever come close to making the kind of annual profit that this 134-year-old oil giant generated last year."", ""print_section"": ""C"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Exxon Mobil Just Wants to Be Loved"", ""kicker"": ""Talking Business"", ""content_kicker"": null, ""print_headline"": ""Exxon Mobil Just Wants To Be Loved"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Global Warming"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Environment"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-02-10T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Joe Nocera"", ""person"": [{""firstname"": ""Joe"", ""middlename"": null, ""lastname"": ""Nocera"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/0c7fd26e-5042-5bb6-adeb-f1bca6a8d171"", ""word_count"": 1637, ""uri"": ""nyt://article/0c7fd26e-5042-5bb6-adeb-f1bca6a8d171""}"
2007-02-14,"{""abstract"": ""Rex W. Tillerson suggested a more accommodating position than the hard-nosed stance his company had held."", ""web_url"": ""https://www.nytimes.com/2007/02/14/business/14exxon.html"", ""snippet"": ""Rex W. Tillerson suggested a more accommodating position than the hard-nosed stance his company had held."", ""lead_paragraph"": ""HOUSTON, Feb. 13 \u2014 The chief executive of Exxon Mobil, Rex W. Tillerson, warned Tuesday that governments should not rush into policies that could damage the global economy in order to limit carbon emissions."", ""print_section"": ""C"", ""print_page"": ""3"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Exxon Chief Cautions Against Rapid Action to Cut Carbon Emissions"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Exxon Chief Cautions Against Rapid Action to Cut Carbon Emissions"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Oil (Petroleum) and Gasoline"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Global Warming"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Carbon Dioxide"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Environment"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-02-14T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Clifford Krauss and Jad Mouawad"", ""person"": [{""firstname"": ""Clifford"", ""middlename"": null, ""lastname"": ""Krauss"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}, {""firstname"": ""Jad"", ""middlename"": null, ""lastname"": ""Mouawad"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 2}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/5c69aa8e-bee4-5d18-a30e-cc1b25a03521"", ""word_count"": 832, ""uri"": ""nyt://article/5c69aa8e-bee4-5d18-a30e-cc1b25a03521""}"
2007-02-21,"{""abstract"": ""Exxon Mobil announced it would abandon a project to produce clean-burning diesel in partnership with Qatar\u2019s state-run oil and gas company."", ""web_url"": ""https://www.nytimes.com/2007/02/21/business/worldbusiness/21exxon.html"", ""snippet"": ""Exxon Mobil announced it would abandon a project to produce clean-burning diesel in partnership with Qatar\u2019s state-run oil and gas company."", ""lead_paragraph"": ""HOUSTON, Feb. 20 \u0097 Exxon Mobil announced on Tuesday that it would abandon one of its biggest investments ever, a project with Qatar\u2019s state-run oil and gas company to produce clean-burning diesel from natural gas."", ""print_section"": ""C"", ""print_page"": ""7"", ""source"": ""The New York Times"", ""multimedia"": [], ""headline"": {""main"": ""Exxon to Abandon a Big Investment in Qatar"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Exxon to Abandon a Big Investment in Qatar"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Oil (Petroleum) and Gasoline"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 2, ""major"": ""N""}, {""name"": ""glocations"", ""value"": ""Qatar"", ""rank"": 3, ""major"": ""N""}], ""pub_date"": ""2007-02-21T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""World Business"", ""byline"": {""original"": ""By Clifford Krauss"", ""person"": [{""firstname"": ""Clifford"", ""middlename"": null, ""lastname"": ""Krauss"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/181b05dd-297d-5642-9d42-d3a44a06090e"", ""word_count"": 631, ""uri"": ""nyt://article/181b05dd-297d-5642-9d42-d3a44a06090e""}"
2007-03-05,"{""abstract"": ""Technology has unlocked more oil from old fields, challenging forecasts that  reserves are drying out."", ""web_url"": ""https://www.nytimes.com/2007/03/05/business/05oil1.html"", ""snippet"": ""Technology has unlocked more oil from old fields, challenging forecasts that  reserves are drying out."", ""lead_paragraph"": ""BAKERSFIELD, Calif. \u2014 The Kern River oil field, discovered in 1899, was revived when Chevron engineers here started injecting high-pressured steam to pump out more oil. The field, whose production had slumped to 10,000 barrels a day in the 1960s, now has a daily output of 85,000 barrels."", ""print_section"": ""A"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/03/05/business/05oil.600.jpg"", ""height"": 300, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2007/03/05/business/05oil.600.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 300}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2007/03/05/business/05oil.75.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2007/03/05/business/05oil.75.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}], ""headline"": {""main"": ""Oil Innovations Pump New Life Into Old Wells"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Oil Innovations Pump New Life Into Old Wells"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Production"", ""rank"": 1, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Science and Technology"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Oil (Petroleum) and Gasoline"", ""rank"": 3, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Exxon Mobil Corp"", ""rank"": 4, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Chevron Corp"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2007-03-05T05:00:00+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""byline"": {""original"": ""By Jad Mouawad"", ""person"": [{""firstname"": ""Jad"", ""middlename"": null, ""lastname"": ""Mouawad"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/bf2db1f5-696b-5e39-9b9e-61339c77eb74"", ""word_count"": 1806, ""uri"": ""nyt://article/bf2db1f5-696b-5e39-9b9e-61339c77eb74""}"
