"Stock, Number of Articles"
AAPL,8210
ABB,62
ABBV,152
AEP,24
AGFS,0
AMGN,303
AMZN,2263
BA,1420
BABA,955
BAC,4694
BBL,722
BCH,235
BHP,722
BP,1758
BRK-A,1073
BSAC,0
BUD,882
C,11541
CAT,373
CELG,0
CHL,893
CHTR,166
CMCSA,1477
CODI,82
CSCO,800
CVX,347
D,3279
DHR,29
DIS,2516
DUK,84
EXC,140
FB,6103
GD,83
GE,2444
GOOG,11152
HD,783
HON,1
HRG,12
HSBC,1510
IEP,2452
INTC,1436
JNJ,1099
JPM,5246
KO,675
LMT,253
MA,438
MCD,74
MDT,292
MMM,108
MO,326
MRK,459
MSFT,5887
NEE,11
NGG,4
NVS,301
ORCL,832
PCG,47
PCLN,0
PEP,310
PFE,916
PG,535
PICO,18
PM,4655
PPL,15
PTR,118
RDS-B,365
REX,61
SLB,58
SNP,1018
SNY,181
SO,19
SPLP,34
SRE,50
T,3301
TM,2011
TOT,0
TSM,50
UL,250
UN,330
UNH,163
UPS,296
UTX,181
V,1223
VZ,1593
WFC,1320
WMT,2146
XOM,826
