Domain-shift Detection Metric,Classification Drop
-0.1524,0.0
-0.1429,1.0
-0.1504,0.0
-0.1467,0.25
-0.1459,0.42857142857142855
-0.1422,0.0
-0.1405,0.2
-0.1389,0.0
-0.1413,0.0
-0.1497,0.0
-0.1392,0.2
-0.1368,0.0
-0.1468,0.25
-0.1388,0.3333333333333333
-0.1404,0.16666666666666666
-0.1407,0.3333333333333333
-0.1365,0.3333333333333333
-0.1406,0.35714285714285715
-0.1393,0.16666666666666666
-0.1426,0.0
-0.1496,0.0
-0.1432,0.125
-0.1418,0.14285714285714285
-0.1441,0.3333333333333333
-0.1452,0.0
-0.1414,0.4
-0.1535,0.0
-0.1465,0.14285714285714285
-0.1434,0.0
-0.1505,0.25
-0.1397,0.25
-0.1517,0.5
-0.1421,0.1111111111111111
-0.138,0.5
-0.1436,0.375
-0.149,1.0
-0.1435,0.0
-0.1439,0.2
-0.1433,0.25
-0.1409,0.6
-0.141,0.2
-0.1483,0.0
-0.15,0.0
-0.1419,0.25
-0.1508,1.0
-0.144,0.0
-0.147,0.0
-0.1443,0.16666666666666666
-0.1424,0.14285714285714285
-0.1475,0.0
-0.1431,0.2
-0.1342,0.0
-0.1396,0.0
-0.1466,0.5
-0.1386,0.0
-0.1363,0.0
-0.1515,0.5
-0.1455,0.25
-0.1377,0.5
-0.1489,0.0
-0.1484,0.0
-0.1456,0.2
-0.1415,0.16666666666666666
-0.1449,0.25
-0.1445,0.0
-0.1461,0.2857142857142857
-0.1384,0.0
-0.1416,0.0
-0.1408,0.16666666666666666
-0.1391,0.3333333333333333
-0.1437,0.2
-0.1469,0.3333333333333333
-0.1506,0.0
-0.1337,0.0
-0.1352,0.0
-0.1514,0.0
-0.1383,0.0
-0.1472,0.0
-0.1529,0.0
-0.1502,0.0
-0.1371,0.0
-0.1471,0.0
-0.1398,0.0
-0.152,0.0
-0.1462,0.0
-0.1474,0.0
-0.1454,0.0
-0.1492,0.0
-0.1521,0.0
-0.1513,0.5
-0.1417,0.16666666666666666
-0.1394,0.16666666666666666
-0.1509,0.0
-0.1473,0.0
-0.1477,0.3333333333333333
-0.1446,0.0
-0.1463,0.0
-0.1495,0.5
-0.1498,0.0
-0.148,0.3333333333333333
-0.146,0.0
-0.1499,0.0
-0.1457,0.0
-0.143,0.0
-0.1481,0.0
-0.1479,0.3333333333333333
-0.1541,0.0
-0.1557,0.0
-0.145,0.0
-0.1491,0.5
-0.1444,0.0
-0.1428,0.0
-0.1451,0.0
-0.1402,0.3333333333333333
-0.1378,0.0
-0.137,0.0
-0.1501,0.5
-0.1478,0.3333333333333333
-0.1442,0.2222222222222222
-0.1464,0.0
-0.1546,0.0
-0.1494,0.0
-0.1458,0.14285714285714285
-0.1485,0.0
-0.1438,0.25
-0.1318,0.0
-0.1528,0.0
-0.1411,0.2857142857142857
-0.1376,0.0
-0.1427,0.0
-0.1425,0.0
-0.151,0.0
-0.1448,0.0
-0.1412,0.0
-0.1359,0.0
-0.1357,0.0
-0.1401,0.0
-0.1395,0.0
-0.1375,0.3333333333333333
-0.1353,0.6666666666666666
-0.1317,0.0
-0.1373,0.0
-0.1367,0.0
-0.1447,0.25
-0.139,0.0
-0.1382,0.0
-0.1385,0.0
-0.1362,1.0
-0.1403,0.0
-0.1512,0.0
-0.14,0.3333333333333333
-0.1423,0.0
-0.1387,0.5
-0.1325,0.0
-0.142,0.0
-0.1356,0.0
-0.1486,0.0
-0.1369,0.0
-0.1381,0.0
-0.1358,0.0
-0.1329,1.0
-0.1372,1.0
-0.1569,0.0
-0.1355,0.3333333333333333
-0.1346,1.0
-0.1361,0.0
-0.1336,0.0
-0.1291,0.0
