Text,Prediction,Ground Truth
"President Trump said there was a “very, very good chance” of a trade deal with China being reached when he meets with the Chinese president in March. U.S. and China Extend Talks, but Final Deal Remains Elusive",1,1
"Despite talk that the dollar was losing dominance, it has only gained stature, reinforcing President Trump’s power to dictate foreign policy. The Dollar Is Still King. How (in the World) Did That Happen?",-1,1
The Fed released minutes of its January meeting showing officials continued to express confidence in the economy but saw enough warning signs to warrant a pause in rate increases. Fed Explains Pause as Officials Debate Future Rate Increases,-1,-1
"A proposal to tax wealth finds support across party lines, along with the premise that the government should combat inequality. Democrats Want to Tax the Wealthy. Many Voters Agree.",1,-1
"A decline in residential real estate has led several recessions. With construction still in a multiyear slump, it seems unlikely to be the culprit this year. Housing Is Already in a Slump. So It (Probably) Can’t Cause a Recession.",-1,1
There are other tools that don’t involve quite the risks and challenges of targeting the richest families. Elizabeth Warren Wants a Wealth Tax. How Would That Even Work?,-1,-1
"Plus, tax season brings bad news, and the Fed offers more clues about its change of heart. The Week in Business: Amazon Breaks Up With New York, and Warren Buffett Takes Stock",1,-1
"With millions of people filing tax returns under a new tax law and after a long government shutdown, this is a challenging year. We offer survival tips and extensive coverage. Watch Out. Tax Season Is Even More Stressful Than Usual.",-1,-1
"In terms of economic, political and cultural impact, the finance industry dominates. But tech is gaining fast, and is where much of the growth is. Even Without Amazon, Tech Could Keep Gaining Ground in New York",1,1
Both sides said “progress” had been made in the talks but deep disagreements remain ahead of the March deadline set by leaders of both countries. China and U.S. to Continue Trade Talks Next Week,-1,-1
Europe’s largest economy showed no growth in the fourth quarter as steel tariffs hit manufacturers and sales to China declined. German Growth Stagnates as Trump Trade War Starts to Bite,-1,-1
"Fewer taxpayer calls are being answered and wait times are longer, a new report finds. The Government Shutdown Made the I.R.S. Even More Frustrating",-1,-1
A proposal to restrict stock buybacks is the latest push by party leaders to force corporations to spend more on workers. Democrats Aim to Limit Corporate Windfall From Trump Tax Cut,1,-1
"The economy has been fairly strong, but economists are nearly unanimous in concluding that President Trump’s economic policies are destructive. An A- for the U.S. Economy, but Failing Grades for Trump’s Policies",-1,-1
"Innovation, investment and inviting geology have given new life to an oil patch that once seemed spent. The oil field is now the world’s second most productive. How a ‘Monster’ Texas Oil Field Made the U.S. a Star in the World Market",1,1
"Depression and suicide rates rose alarmingly during the debt crisis as the country cut wages and health services and increased taxes. Greece, 10 Years Into Economic Crisis, Counts the Cost to Mental Health",-1,-1
"From Apple to Nvidia, tech companies say business is slowing. Among the reasons: China and a Bitcoin slump. It may be just a bump — until it’s not. Behind Tech’s Shine, Some Warnings Signs Appear",-1,-1
"Also, the Fed makes a surprising announcement, and the true cost of the government shutdown. The Week in Business: Let the Apple vs. Facebook Battle Begin, and China Goes Soybean Shopping",1,-1
"The Fed’s newfound patience on raising interest rates is just what President Trump wanted. Its explanation, however, is unlikely to please him. Trump’s Policies, Not His Insults, Contributed to the Fed’s Shift",1,-1
"The economy added 304,000 jobs in January, the 100th consecutive month of payroll gains. Unemployment ticked up to 4 percent, possibly a shutdown-related anomaly. U.S. Job Gains Show Employers Shrugged Off Government Shutdown",-1,1
"The Italian economy shrank for a second quarter while the eurozone barely grew, new data showed, raising concern about a global slowdown. Italy Slides Into Recession as Europe Stalls, Stoking Global Fears",-1,-1
"The leaked report undercut a tenet of Prime Minister Narendra Modi’s job-creation vows, and came out just months before the next election. India’s Leader Is Accused of Hiding Unemployment Data Before Vote",-1,-1
Investment in the sector nearly halved in 2018 as negotiations over the departure from the European Union led to uncertainty for manufacturers. U.K. Auto Industry Already Feeling the Brexit Pinch,-1,-1
"The Federal Reserve said it expected continued growth but, in a sharp reversal, indicated it stood ready either to increase or to reduce rates, depending on economic conditions. Fed Signals End of Interest Rate Increases",1,1
"In the barely inhabited steppes of Central Asia, it is establishing the next foothold in its trillion-dollar campaign to transform global infrastructure. Can China Turn the Middle of Nowhere Into the Center of the World Economy?",1,1
"Forecasters, investors and policymakers lack many of the reports they rely on, just as concerns grow that the nation’s economic expansion could be ending. Government Shutdown Is Over, So Where Is the Economic Data?",-1,-1
"Much of that money will be recouped as workers receive back pay, but the financial damage is lingering and another potential shutdown looms. Government Shutdown Cost U.S. Economy $11 Billion, C.B.O. Says",-1,-1
"Just when we thought we were out, global deflationary forces have pulled us back in. The World Economy Just Can’t Escape Its Low-Growth, Low-Inflation Rut",-1,-1
"The government shutdown ends (for now), and China comes to the trade talk table. The Week in Business: The Shutdown Ends (for Now), and Venezuela Has One More President Than It Needs",-1,1
"A year after the Trump administration tried to help American manufacturers of laundry equipment, prices are up, sales have fallen and stock prices are down. How Tariffs Stained the Washing Machine Market",-1,-1
"Financial markets will put a price on anything. They are trying to assess Britain’s looming exit from the European Union and the effects of political conflict in the United States, our columnist says. Governments Malfunction and the Markets Place Their Bets",-1,-1
"Unions representing civil servants might be expected to speak in unison on getting their members back to work, but differences in tactics and philosophy are emerging. Divisions Over Trump Complicate Unions’ Response to Government Shutdown",-1,-1
"A ceremony intended to shore up Europe’s core highlighted the daunting challenges the Continent faces, from populism to a wobbly American alliance. Germany and France Renew Their Vows, but Challenges Abound",1,-1
An influential financier says investors should pay heed to growing risks and social tensions — a message resonating at the World Economic Forum. Chilling Davos: A Bleak Warning on Global Division and Debt,-1,-1
The United States and China will meet later this month as administration officials look to calm volatile markets amid concerns an agreement may not be in reach. Pessimism Looms Over Prospect of a Sweeping China Trade Deal,-1,-1
"In the past, China has helped to pull the global economy out of weak spots. This time, it might not come through. China’s Slowdown Looms Just as the World Looks for Growth",1,-1
"Consumer-sentiment readings are declining, and more Americans rate President Trump’s economic policies poorly, as the impasse in Washington drags on. Polls Show Government Shutdown Is Eroding Faith in Economy",-1,-1
"Many of the big economic questions in coming decades will come down to just how extreme the weather will be, and how to value the future versus the present. Climate Change’s Giant Impact on the Economy: 4 Key Issues",1,-1
"Federal work is an anchor in many local economies, offering security and benefits increasingly rare in the private sector and a route to the middle class. Government Shutdown Shakes Stability of Jobs That Are Often the Best Around",-1,-1
"The White House doubled its estimate of the shutdown’s drag on growth, and other economists warned a long stalemate could push the economy into a contraction. Shutdown’s Economic Damage Starts to Pile Up, Threatening an End to Growth",-1,-1
"Beijing’s proposed concessions may help both sides, but may not alleviate the tensions fueling its economic conflict with the United States. China Offers Trump a Trade Peace Deal. It May Not Be Enough.",1,-1
Some venture capitalists are rooting for a market dip to calm Silicon Valley’s overheated start-up scene. Who Wants a Market Downturn? These Investors Actually Do,-1,-1
"If Walmart, Lowe’s and other companies win their property tax appeals, homeowners and small businesses will have to pay more or live with smaller town budgets. As Big Retailers Seek to Cut Their Tax Bills, Towns Bear the Brunt",-1,-1
His message to investors seemed to repair the damage from his remarks two weeks ago. Fed Chairman Powell to Markets: I Hear You,1,1
"Jerome H. Powell, the Federal Reserve chairman, also said that if asked to resign by President Trump, he would refuse. Powell Says a ‘Patient’ Fed Is Watching for Signs of Economic Weakness",-1,-1
The Chinese central bank’s move is intended to send a signal that Beijing is ready to stem a slowdown that has darkened the global outlook. China Pours $218 Billion Into the Economy as Growth Slows,1,-1
"A December gain of 312,000 jobs sent stocks up more than 3 percent, and the Federal Reserve chairman offered soothing words on the central bank’s plans. Strong Hiring and Fed Chief’s Reassurance on Rates Delight Investors",1,1
"The industry sold more than 17 million vehicles for the fourth straight year. But it is relying more on fleet sales, and economic winds are not favorable. U.S. Auto Sales Put Up a Big Number, but Show Signs of Strain",-1,-1
Moves like Mnuchin’s phone calls to bank C.E.O.s could create a broader crisis of confidence. Economy Is Strong. Leadership Is Shaky. Which Will Win Out in 2019?,-1,-1
Amazon’s power is even more pronounced in the nail-biter sprint toward Christmas. A two-decade obsession with delivery speed has given it a huge edge. Last-Minute Shoppers Increasingly Trust Only Amazon to Deliver,1,1
"Walking a narrow line between signaling interest rate intentions and vowing to be nimble in response to changing conditions, he helps prompt a stock sell-off. Jerome Powell Tries a Nuanced Fed Policy. Markets Don’t Like It.",-1,-1
"Jerome H. Powell, the Fed chairman, defended the decision to raise the benchmark rate for the fifth consecutive quarter, a move made despite political pressure and financial market worries. Fed Raises Interest Rates, Showing Confidence in Health of Economy",1,-1
"After months of refusals to back down, the government blinked, saying it would shave billions of euros off its budget to avoid financial penalties from the E.U. Italy and E.U. Reach a Budget Deal, as Populist Plan Runs Into Reality",1,-1
"A brief guide to recessions and what can be done about them. What Is a Recession, and Why Are People Talking About the Next One?",-1,-1
"Car sales are falling. Housing is slow. Workers get three-month unpaid vacations. For Chinese leaders, pressure for a trade deal with President Trump is rising. China’s Economy Slows Sharply, in Challenge for Xi Jinping",-1,-1
"Amazon and Google are aggressively opening offices outside of their Silicon Valley and Seattle hometowns. On Thursday, Apple said it would invest $1 billion in Austin, Tex. Chase for Talent Pushes Tech Giants Far Beyond West Coast",1,1
"For President Trump, the focus on tariffs has been decades in the making, transforming him from a businessman into ... Tariff Man: An Origin Story",1,-1
"The Trump administration is expected to indict hackers and roll out import restrictions out of concern that Beijing will not easily change its trade, cyber and economic practices. Marriott Data Breach Is Traced to Chinese Hackers as U.S. Readies Crackdown on Beijing",-1,-1
Here are five ways things could get bad for everyone. Are You Ready for the Financial Crisis of 2019?,-1,-1
"After a difficult week for the stock market and rising trade tensions, the November jobs report provided evidence that the economy remains strong. As Hiring Slows, Employers Say It’s Getting Harder to Find Workers",-1,1
The economist Robert Shiller says the rise in housing prices is the third biggest since 1913. The biggest boom ended disastrously in 2006. The Housing Boom Is Already Gigantic. How Long Can It Last?,-1,-1
"One question people might be asking is, what took so long? The Economy Faces Big Risks in 2019. Markets Are Only Now Facing Up to Them.",-1,-1
"Faced with a choppy stock market and fears of an economic downturn, Uber and Lyft are moving toward the public markets as other private tech companies also get ready. With the Economy Uncertain, Tech ‘Unicorns’ Rush Toward I.P.O.",1,-1
"When the pros and cons for stocks and the economy over the next year or two are weighed, the risks appear to be dominant, our columnist says. The Stock Market’s Dangers Are Easier to See Now",-1,-1
"The minutes of the Federal Reserve’s most recent meeting said most officials foresee a need to keep raising rates next year. Interest Rates Likely to Rise in December, Recap of Fed Meeting Shows",1,-1
"Rising tariffs could lead Chinese buyers to look for alternatives to American products. But Australia could suffer if the conflict slows China’s growth. As U.S.-China Trade War Rages, Some Australian Farmers See an Opportunity",-1,1
"From planning to harvest, the grain belt’s rhythms and prospects have been disrupted by the government’s tariff battle with China. A Farmer’s Tough Year on the Trade War’s Kansas Front",-1,-1
"In a region where the president vowed that manufacturing jobs were coming back, the idling of a Chevrolet plant and its 1,600 workers is a major blow. G.M., Not Trump, Is the Real Villain to Some Ohio Factory Workers",-1,-1
Columbia Sportswear has worked around tariffs for decades — and it says the president’s new wave of levies will not bring jobs back to America. A Winter-Coat Heavyweight Gives Trump’s Trade War the Cold Shoulder,-1,-1
"Consumer confidence points to open pocketbooks in the short run. Trade tensions, market upheaval and other factors may make the new year less bright. Holiday Spending Should Be Strong. And Then?",1,-1
"Despite his tough talk, President Trump has not fundamentally altered America’s approach to trade. But that could change, and future increases in tariffs could be very costly to the United States. Trump’s Tariffs Haven’t Really Transformed Trade. Yet.",-1,-1
"There’s not a main reason for the sell-off, but a widening sense of unease that several types of problems are rising at once. Markets Are Revealing the Sum of All Risks",-1,-1
"Despite mediocre returns lately, our columnist is investing for the long run. But he worries like everyone else. The Market’s Been Falling. I’m Putting My Money in Stocks Anyway.",-1,-1
Home prices are out of reach relative to incomes and mortgage rates. The big question for the economy is how the imbalance adjusts. Why the Housing Market Is Slumping Despite a Booming Economy,-1,-1
